Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201807465,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02340,05 Apr 2019,,-,"2017-187863 28 Sep 2017 JP
",B62D 25/20,"DAIHATSU MOTOR CO.,LTD."
PID201902161,,-,(PA) Masa Pengumuman,2020/01386,02 Nov 2020,,-,"- - -
","B60R 16/02,H02G 3/00","DAIHATSU MOTOR CO., LTD."
PID201902165,,-,(PA) Pemeriksa Substantif,2019/07820,01 Nov 2019,,-,"2018-085702 26 Apr 2018 JP
",B60K 15/04,"DAIHATSU MOTOR CO., LTD."
PID201902158,,-,(PA) Pemeriksa Substantif,2019/07226,04 Oct 2019,,-,"2018-062424 28 Mar 2018 JP
",F01N 13/08,"DAIHATSU MOTOR CO., LTD."
PID201806910,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11764,02 Nov 2018,,-,"2016-037828 29 Feb 2016 JP
","F16H 37/02,F16D 65/00,F16H 57/04","DAIHATSU MOTOR CO., LTD."
P00201706546,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04916,11 May 2018,,-,"2016-190652 29 Sep 2016 JP
","B60H 1/20,B60R 21/213","DAIHATSU MOTOR CO., LTD."
P00201706487,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02136,29 Mar 2019,,-,"- - -
",F16F 1/36,"DAIHATSU MOTOR CO., LTD."
P00201706541,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04915,11 May 2018,,-,"2016-192169 29 Sep 2016 JP
","B60J 5/06,B62D 25/04","DAIHATSU MOTOR CO., LTD."
P00201706488,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04911,11 May 2018,,-,"2016-191131 29 Sep 2016 JP
",B60R 19/18,"DAIHATSU MOTOR CO. , LTD."
P00201807620,IDP000072900,,(PA) Pembuatan Sertifikat,2019/02385,05 Apr 2019,26 Sep 2018,26 Sep 2018,"2017-189382 29 Sep 2017 JP
","B60Q 1/04,B60Q 1/12,B60Q 1/18","DAIHATSU MOTOR CO., LTD."
P00201807636,,-,(PA) Masa Pengumuman,2020/00809,18 Jun 2020,,-,"- - -
",F02B 39/00,"DAIHATSU MOTOR CO., LTD."
PID201902160,,-,(PA) Masa Pengumuman,2020/01385,02 Nov 2020,,-,"- - -
","B65D 21/00,B65D 25/08,B65D 65/12","DAIHATSU MOTOR CO., LTD."
P00201706616,IDP000063972,,(PA) Diberi Paten,2018/04972,18 May 2018,28 Sep 2017,17 Dec 2015,"2015-085267 17 Apr 2015 JP
","B32B 27/00,B32B 7/06","DAIHATSU MOTOR CO., LTD."
P00201807623,,-,(PA) Masa Pengumuman,2020/00807,18 Jun 2020,,-,"- - -
",-,"DAIHATSU MOTOR CO., LTD."
P00201807463,IDP000073134,,(PA) Pembuatan Sertifikat,2019/02338,05 Apr 2019,24 Sep 2018,24 Sep 2018,"2017-190527 29 Sep 2017 JP
","B60K 11/04,B62D 25/08,F01P 11/10","DAIHATSU MOTOR CO., LTD."
P00201802067,,-,(PA) Pemeriksa Substantif,2019/07014,27 Sep 2019,,-,"- - -
",E02D 29/02,"DAIHATSU MOTOR CO., LTD."
P00201802185,IDP000070074,,(PA) Diberi Paten,2018/13240,31 Dec 2018,26 Mar 2018,26 Mar 2018,"20 17-127839 29 Jun 2017 JP
",F16H 63/34,"DAIHATSU MOTOR CO., LTD."
P00201807612,IDP000072641,,(PA) Diberi Paten,2019/02383,05 Apr 2019,26 Sep 2018,26 Sep 2018,"2017-191155 29 Sep 2017 JP
","B60G 7/02,F16F 1/38,F16F 1/387","DAIHATSU MOTOR CO., LTD."
P00201802120,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07042,27 Sep 2019,,-,"JP20 17-073310 31 Mar 2018 JP
",F16H 63/34,"DAIHATSU MOTOR CO., LTD."
P00201605705,,-,(PA) Ditarik Kembali oleh Pemohon,2018/01007,02 Feb 2018,,-,"2015-167737 27 Aug 2015 JP
",B60N 3/10,"DAIHATSU MOTOR CO., LTD."
P00201807464,IDP000073135,,(PA) Pembuatan Sertifikat,2019/02339,05 Apr 2019,24 Sep 2018,24 Sep 2018,"2017-187501 28 Sep 2017 JP
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201606441,IDP000072722,,(PA) Diberi Paten,2018/01369,09 Feb 2018,26 Sep 2016,26 Sep 2016,"2015-213289 29 Oct 2015 JP
",F16H 57/02,"DAIHATSU MOTOR CO., LTD."
P00201802186,IDP000070973,,(PA) Diberi Paten,2018/10462,28 Sep 2018,26 Mar 2018,26 Mar 2018,"2016-195029 30 Sep 2016 JP
","F16D 13/60,F16H 57/10,F16H 63/30","DAIHATSU MOTOR CO., LTD."
P00201802119,IDP000071566,,(PA) Diberi Paten,2018/10457,28 Sep 2018,22 Mar 2018,22 Mar 2018,"2017-060105 24 Mar 2017 JP
","F01L 1/356,F01M 13/00,F01M 13/04","DAIHATSU MOTOR CO., LTD."
P00201802071,,-,(PA) Pemeriksa Substantif,2019/07015,27 Sep 2019,,-,"- - -
","B60R 21/16,B60R 21/207","DAIHATSU MOTOR CO., LTD."
P00201802167,,-,(PA) Pelayanan Teknis,2019/07162,04 Oct 2019,,-,"- - -
",H02G 3/00,"DAIHATSU MOTOR CO., LTD."
P00201801573,IDP000073187,,(PA) Pembuatan Sertifikat,2018/08082,03 Aug 2018,02 Mar 2018,31 Jul 2016,"2015-153584 03 Aug 2015 JP
","F16H 37/02,F16H 57/04,F16H 61/00","DAIHATSU MOTOR CO., LTD."
P00201802116,,-,(PA) Pemeriksa Substantif,2019/07036,27 Sep 2019,,-,"- - -
","F16H 57/00,F16H 9/12","DAIHATSU MOTOR CO., LTD."
P00201802122,,-,(PA) Pemeriksa Substantif,2019/07046,27 Sep 2019,,-,"- - -
",G02B 6/00,"DAIHATSU MOTOR CO.,LTD."
P00201606345,IDP000063186,,(PA) Diberi Paten,2018/01671,16 Feb 2018,22 Sep 2016,22 Sep 2016,"2015-214724 30 Oct 2015 JP
",F02B 77/00,"DAIHATSU MOTOR CO., LTD."
P00201807615,,-,(PA) Masa Pengumuman,2020/00805,18 Jun 2020,,-,"- - -
",G07F 17/30,"DAIHATSU MOTOR CO., LTD."
P00201802117,,-,(PA) Pemeriksa Substantif,2019/07038,27 Sep 2019,,-,"- - -
","B07C 5/34,B07C 7/04","DAIHATSU MOTOR CO., LTD."
P00201802118,IDP000071895,,(PA) Diberi Paten,2018/11243,19 Oct 2018,22 Mar 2018,22 Mar 2018,"JP2017-073316 31 Mar 2017 JP
",F16H 63/34,"DAIHATSU MOTOR CO., LTD."
P00201401797,IDP000051745,,(PA) Diberi Paten,2015/04947,06 Nov 2015,27 Mar 2014,27 Mar 2014,"2013-068213 28 Mar 2013 JP
","B21D 19/02,B21D 19/08,B21D 37/12,B30B 7/04","DAIHATSU MOTOR CO., LTD."
P00201604186,IDP000070157,,(PA) Diberi Paten,2017/06507,16 Jun 2017,22 Jun 2016,22 Jun 2016,"2015-131543 30 Jun 2015 JP
",F02M 35/104,"DAIHATSU MOTOR CO., LTD."
P00201807467,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/06040,16 Aug 2019,,-,"2017-209951 31 Oct 2017 JP
","B60N 2/06,B60N 2/28,B60N 2/42","DAIHATSU MOTOR CO., LTD."
P00201508531,IDP000063044,,(PA) Diberi Paten,2017/07526,14 Jul 2017,16 Dec 2015,16 Dec 2015,"- - -
","B01D 53/88,B01J 23/00","DAIHATSU MOTOR CO., LTD."
P00201604183,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2017/13970,29 Dec 2017,,-,"- - -
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201706486,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04910,11 May 2018,,-,"JP 2016-191835 29 Sep 2016 JP
",F16F 15/08,"DAIHATSU MOTOR CO., LTD."
PID201902155,,-,(PA) Pemeriksa Substantif,2019/07224,04 Oct 2019,,-,"2018-062252 28 Mar 2018 JP
",F01M 11/03,"DAIHATSU MOTOR CO., LTD."
P00201706568,IDP000062694,,(PA) Diberi Paten,2018/04843,11 May 2018,27 Sep 2017,09 Dec 2015,"2015-078917 08 Apr 2015 JP
","B29C 51/12,B29C 51/14,B32B 27/00","DAIHATSU MOTOR CO., LTD."
PID201902162,,-,(PA) Masa Pengumuman,2020/01387,02 Nov 2020,,-,"- - -
","F01P 3/02,F02F 1/36","DAIHATSU MOTOR CO., LTD."
P00201706547,IDP000069753,,(PA) Diberi Paten,2018/04917,11 May 2018,26 Sep 2017,26 Sep 2017,"2016-192758 30 Sep 2016 JP
",B62D 25/10,"DAIHATSU MOTOR CO., LTD."
PID201902159,,-,(PA) Masa Pengumuman,2020/01384,02 Nov 2020,,-,"- - -
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201706542,IDP000072568,,(PA) Diberi Paten,2019/02960,03 May 2019,26 Sep 2017,26 Sep 2017,"- - -
",B60H 1/32,"DAIHATSU MOTOR CO., LTD."
P00201706489,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02137,29 Mar 2019,,-,"- - -
",F02M 35/10,"DAIHATSU MOTOR CO., LTD"
PID201902157,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07225,04 Oct 2019,,-,"2018-065436 29 Mar 2018 JP
",F01M 9/10,"DAIHATSU MOTOR CO., LTD."
PID201806531,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11360,19 Oct 2018,,-,"2016-015619 29 Jan 2016 JP
","F16H 9/12,F16H 57/00","DAIHATSU MOTOR CO., LTD."
P00201706484,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04909,11 May 2018,,-,"JP2016-193003 30 Sep 2016 JP
","B60G 21/055,B60G 7/00","DAIHATSU MOTOR CO., LTD."
P00201902357,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07229,04 Oct 2019,,-,"2018-066105 29 Mar 2018 JP
",B60K 15/067,"DAIHATSU MOTOR CO., LTD."
Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201902378,,-,(PA) Masa Pengumuman,2020/01400,02 Nov 2020,,-,"- - -
",B62D 25/20,"DAIHATSU MOTOR CO., LTD."
P00201902356,,-,(PA) Pelayanan Teknis,2019/07228,04 Oct 2019,,-,"2018-061662 28 Mar 2018 JP
",B62D 7/18,"DAIHATSU MOTOR CO., LTD."
P00201902265,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2019/06981,20 Sep 2019,,-,"2018-048894 16 Mar 2018 JP
","B60K 11/04,B60K 11/08,B62D 25/08,F01P 3/18","DAIHATSU MOTOR CO.,LTD."
P00201902364,,-,(PA) Pelayanan Teknis,2019/07234,04 Oct 2019,,-,"2018-065549 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902372,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07214,04 Oct 2019,,-,"2018-065552 29 Mar 2018 JP
",B60S 1/50,"DAIHATSU MOTOR CO., LTD."
P00201902384,,-,(PA) Pelayanan Teknis,2019/07220,04 Oct 2019,,-,"2018-062847 28 Mar 2018 JP
",B60H 1/00,"DAIHATSU MOTOR CO., LTD."
P00201902370,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07213,04 Oct 2019,,-,"2018-060951 27 Mar 2018 JP
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201902373,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07241,04 Oct 2019,,-,"2018-065547 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902369,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07212,04 Oct 2019,,-,"2018-065548 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902379,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07110,27 Sep 2019,,-,"2018-057284 23 Mar 2018 JP
",-,"DAIHATSU MOTOR CO., LTD."
P00201902376,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07216,04 Oct 2019,,-,"2018-059014 26 Mar 2018 JP
",B62D 25/20,"DAIHATSU MOTOR CO., LTD."
P00201902380,,-,(PA) Pemeriksa Substantif,2019/07217,04 Oct 2019,,-,"2018-063667 29 Mar 2018 JP
",B62D 25/00,"DAIHATSU MOTOR CO., LTD."
