Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201801704,IDP000061967,,(PA) Diberi Paten,2018/07656,27 Jul 2018,07 Mar 2018,09 Sep 2015,"- - -
","B29B 11/16,B29C 39/10","NISSAN MOTOR CO., LTD."
PID201802950,IDP000064005,,(PA) Diberi Paten,2018/08894,16 Aug 2018,30 Sep 2015,30 Sep 2015,"- - -
","G01C 21/36,B60K 35/00","NISSAN MOTOR CO., LTD."
PID201802955,IDP000061864,,(PA) Diberi Paten,2018/10028,14 Sep 2018,30 Sep 2015,30 Sep 2015,"- - -
","G01C 21/26,B60K 35/00,G01C 21/36","NISSAN MOTOR CO., LTD."
P00201709693,IDP000058676,,(PA) Diberi Paten,2018/06822,13 Jul 2018,27 Dec 2017,01 Jun 2015,"- - -
","B60K 6/442,B60K 6/547,B60W 10/08","NISSAN MOTOR CO., LTD."
P00201804196,IDP000066377,,(PA) Diberi Paten,2018/09372,24 Aug 2018,06 Jun 2018,20 Nov 2015,"- - -
","F02B 31/06,F02M 35/104","NISSAN MOTOR CO., LTD."
P00201806971,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2018/10437,28 Sep 2018,,-,"- - -
",F02M 61/16,"NISSAN MOTOR CO., LTD."
P00201801021,IDP000071844,,(PA) Diberi Paten,2018/07816,27 Jul 2018,12 Feb 2018,21 Jul 2015,"- - -
","F02B 75/04,F02B 75/32,F02D 15/02,F16D 7/02","NISSAN MOTOR CO., LTD."
P00201803627,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09095,16 Aug 2018,,-,"- - -
","B60R 21/00,B60W 30/06,G08G 1/14,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201803655,IDP000072399,,(PA) Diberi Paten,2018/09101,16 Aug 2018,21 May 2018,22 Oct 2015,"- - -
","B60R 21/00,B60W 30/06,G08G 1/14","NISSAN MOTOR CO., LTD."
P00201809871,IDP000069137,,(PA) Diberi Paten,2018/12772,07 Dec 2018,30 Nov 2018,20 May 2016,"- - -
","B32B 5/18,C08J 7/06","NISSAN MOTOR CO., LTD."
P00201804197,IDP000061346,,(PA) Diberi Paten,2018/10548,28 Sep 2018,06 Jun 2018,19 Nov 2015,"- - -
","F02M 35/10,F02M 35/104","NISSAN MOTOR CO., LTD."
P00201800998,IDP000059337,,(PA) Masa Tenggang Dihapuskan,2018/07406,20 Jul 2018,09 Feb 2018,14 Jul 2015,"- - -
",B60W 30/17,"NISSAN MOTOR CO., LTD."
P00201906343,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/05918,16 Aug 2019,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201810719,IDP000065094,,(PA) Diberi Paten,2019/00443,18 Jan 2019,19 Dec 2018,25 May 2016,"- - -
","B60K 1/00,B60K 5/12,B60R 16/04,B62D 25/20","NISSAN MOTOR CO., LTD."
P00201507706,IDP000057406,,(PA) Diberi Paten,2017/04287,28 Apr 2017,25 Nov 2015,11 Apr 2014,"2013-113818 30 May 2013 JP
","B60L 11/14,B60W 10/06,B60W 10/08,B60W 20/00,F02D 29/02,F02D 43/00,F02N 11/04,F02N 11/08,B60K 6/485,B60K 6/543","NISSAN MOTOR CO., LTD."
P00201906769,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/05963,16 Aug 2019,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201900898,IDP000073198,,(PA) Pembuatan Sertifikat,2019/01298,22 Feb 2019,30 Jan 2019,15 Jul 2016,"- - -
",B60L 15/20,"NISSAN MOTOR CO., LTD."
P00201901534,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01729,08 Mar 2019,,-,"- - -
",B60W 30/06,"NISSAN MOTOR CO., LTD."
P00201803837,IDP000072402,,(PA) Diberi Paten,2018/10487,28 Sep 2018,25 May 2018,30 Oct 2015,"- - -
","F02D 29/02,F02N 11/08","NISSAN MOTOR CO.,LTD."
P00201703826,IDP000065165,,(PA) Diberi Paten,2018/00259,12 Jan 2018,14 Jun 2017,02 Dec 2014,"- - -
","F02D 29/02,F02D 35/02,F02D 41/02,F02D 41/04,F02D 41/12,F02D 41/38,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201804185,IDP000065353,,(PA) Diberi Paten,2018/10436,28 Sep 2018,06 Jun 2018,19 Nov 2015,"- - -
",F16H 59/20,"NISSAN MOTOR CO., LTD."
P00201705609,IDP000060381,,(PA) Diberi Paten,2018/00896,26 Jan 2018,23 Aug 2017,26 Jan 2015,"- - -
",B60L 15/20,"NISSAN MOTOR CO., LTD."
P00201806336,IDP000073059,,(PA) Pembuatan Sertifikat,2018/12731,07 Dec 2018,21 Aug 2018,20 Dec 2016,"2016-010528 22 Jan 2016 JP
","F02B 37/12,F02B 37/18",NISSAN MOTOR CO. LTD.
P00201809500,IDP000069007,,(PA) Diberi Paten,2019/02777,26 Apr 2019,21 Nov 2018,28 Apr 2016,"- - -
","H05K 5/02,H05K 7/20,H02M 7/48","NISSAN MOTOR CO., LTD."
P00201907110,IDP000072835,,(PA) Pembuatan Sertifikat,2019/06298,23 Aug 2019,24 Jan 2017,24 Jan 2017,"- - -
",B60L 9/18,"NISSAN MOTOR CO., LTD."
P00201902631,IDP000071685,,(PA) Diberi Paten,2019/05015,12 Jul 2019,27 Mar 2019,14 Sep 2016,"- - -
","B60K 35/00,F02D 15/02,G01D 7/00","NISSAN MOTOR CO., LTD."
P00201801935,IDP000072333,,(PA) Diberi Paten,2018/08256,03 Aug 2018,19 Mar 2018,25 Sep 2015,"- - -
","F02B 31/00,F02D 11/10,F02D 9/02","NISSAN MOTOR CO., LTD."
P00201901536,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01499,01 Mar 2019,,-,"- - -
","B60R 21/00,B60W 30/06,B60W 30/09,B60W 40/02","NISSAN MOTOR CO., LTD."
P00201709695,IDP000058677,,(PA) Diberi Paten,2018/06823,13 Jul 2018,27 Dec 2017,01 Jun 2015,"- - -
","B60K 6/442,B60W 10/06","NISSAN MOTOR CO., LTD."
PID201803120,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09137,16 Aug 2018,,-,"- - -
","H02J 7/02,H02J 7/00,H02J 7/34,H02J 7/14","NISSAN MOTOR CO.,LTD."
P00201901600,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02403,05 Apr 2019,,-,"- - -
",B60W 30/06,"NISSAN MOTOR CO., LTD."
P00201707234,IDP000058658,,(PA) Diberi Paten,2018/04277,20 Apr 2018,18 Oct 2017,20 Mar 2015,"- - -
","B60K 6/48,B60K 6/543,B60L 11/14,B60L 15/20","NISSAN MOTOR CO., LTD."
P00201707236,IDP000058726,,(PA) Diberi Paten,2018/04410,27 Apr 2018,18 Oct 2017,20 Mar 2015,"- - -
","B60K 6/442,B60K 6/543,B60W 10/10,B60W 10/18,B60W 20/00,F16H 61/06,F16H 61/662","NISSAN MOTOR CO., LTD."
P00201810546,IDP000069409,,(PA) Diberi Paten,2019/00082,11 Jan 2019,17 Dec 2018,08 Jun 2016,"- - -
","B60K 6/46,B60W 10/08,B60W 20/11,B60W 20/17","NISSAN MOTOR CO., LTD."
P00201703715,IDP000069307,,(PA) Diberi Paten,2017/13533,15 Dec 2017,09 Jun 2017,14 Nov 2014,"- - -
","G06Q 10/02,G06Q 50/10","NISSAN MOTOR CO., LTD."
P00201701431,IDP000054452,,(PA) Diberi Paten,2017/11372,13 Oct 2017,03 Mar 2017,12 Aug 2014,"- - -
","B60R 7/04,H05K 9/00","NISSAN MOTOR CO., LTD."
Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201801171,IDP000066520,,(PA) Diberi Paten,2018/08073,03 Aug 2018,15 Feb 2018,27 Jul 2015,"- - -
",G01C 21/34,"NISSAN MOTOR CO., LTD."
P00201708981,IDP000066160,,(PA) Diberi Paten,2018/06290,29 Jun 2018,13 Dec 2017,20 May 2015,"- - -
",H02M 3/00,"NISSAN MOTOR CO., LTD."
P00201708982,IDP000060589,,(PA) Diberi Paten,2018/05398,25 May 2018,13 Dec 2017,21 May 2015,"- - -
",B25J 19/06,"NISSAN MOTOR CO., LTD."
P00201708984,IDP000065000,,(PA) Diberi Paten,2018/06291,29 Jun 2018,13 Dec 2017,20 May 2015,"- - -
",B25J 19/06,"NISSAN MOTOR CO., LTD."
P00201906652,IDP000072876,,(PA) Pembuatan Sertifikat,2019/05929,16 Aug 2019,30 Jan 2017,30 Jan 2017,"- - -
","B60L 11/18,B60L 5/00","NISSAN MOTOR CO., LTD."
P00201801507,IDP000072156,,(PA) Diberi Paten,2018/07493,20 Jul 2018,28 Feb 2018,28 Feb 2018,"2015-156149 06 Aug 2015 JP
","C22C 9/00,C22C 9/02,C22C 9/06,C23C 24/04,C23C 28/00,C23C 28/02,C23C 30/00,C23C 4/067,F01L 3/02,F01L 3/04,F16C 33/12","NISSAN MOTOR CO., LTD."
PID201802282,IDP000061025,,(PA) Diberi Paten,2018/08074,03 Aug 2018,01 Sep 2015,01 Sep 2015,"- - -
","B60H 1/08,F02D 41/12,F02D 29/02","NISSAN MOTOR CO.,LTD."
P00201804186,IDP000071828,,(PA) Diberi Paten,2018/10880,05 Oct 2018,06 Jun 2018,09 Nov 2015,"- - -
","B60K 31/00,B60W 30/14","NISSAN MOTOR CO., LTD."
P00201800471,IDP000060746,,(PA) Diberi Paten,2018/07398,20 Jul 2018,19 Jan 2018,25 Jun 2015,"- - -
",F16H 61/02,"NISSAN MOTOR CO., LTD."
P00201801596,IDP000067770,,(PA) Diberi Paten,2018/07494,20 Jul 2018,02 Mar 2018,20 Aug 2015,"- - -
","F02D 15/00,F02D 15/02","NISSAN MOTOR CO., LTD."
P00201801787,IDP000060482,,(PA) Diberi Paten,2018/07659,27 Jul 2018,12 Mar 2018,26 Aug 2015,"- - -
","H01R 9/00,H02K 3/04,H02K 5/22","NISSAN MOTOR CO., LTD."
P00201801913,IDP000071840,,(PA) Diberi Paten,2018/08222,03 Aug 2018,16 Mar 2018,20 Aug 2015,"- - -
","F02D 29/00,F02D 29/02,F02D 29/06,F02M 37/00,F02M 37/22","NISSAN MOTOR CO.,LTD."
P00201804188,IDP000072339,,(PA) Diberi Paten,2018/11624,25 Oct 2018,06 Jun 2018,09 Nov 2015,"- - -
","B60L 15/20,B60L 7/18,B60L 9/18,B60W 30/00,B60W 40/06","NISSAN MOTOR CO.,LTD."
PID201803213,IDP000063041,,(PA) Masa Tenggang Dihapuskan,2018/10030,14 Sep 2018,09 Oct 2015,09 Oct 2015,"- - -
",B60K 35/00,"NISSAN MOTOR CO., LTD."
P00201705410,IDP000063589,,(PA) Diberi Paten,2018/02154,02 Mar 2018,16 Aug 2017,26 Jan 2015,"- - -
","B60L 15/20,B60T 7/12,B60T 8/17,B60W 40/10","NISSAN MOTOR CO., LTD."
P00201801148,IDP000062072,,(PA) Diberi Paten,2018/07639,27 Jul 2018,14 Feb 2018,27 Jul 2015,"- - -
","G01C 21/34,G08G 1/0969","NISSAN MOTOR CO., LTD."
P00201708985,IDP000057786,,(PA) Diberi Paten,2018/05443,25 May 2018,13 Dec 2017,21 May 2015,"- - -
",H02P 27/08,"NISSAN MOTOR CO., LTD."
P00201800472,IDP000060515,,(PA) Diberi Paten,2018/07399,20 Jul 2018,19 Jan 2018,25 Jun 2015,"- - -
","F02B 75/04,F02B 75/32,F02D 15/02","NISSAN MOTOR CO., LTD."
P00201803838,IDP000072403,,(PA) Diberi Paten,2018/10523,28 Sep 2018,25 May 2018,18 Oct 2016,"2015-211499 28 Oct 2015 JP
","F16H 59/18,F16H 61/02,F16H 61/662,F16H 63/50","NISSAN MOTOR CO., LTD."
P00201903405,,-,(PA) Persetujuan Direktur untuk Diberi,2019/03111,10 May 2019,,-,"- - -
","B60W 30/06,B62D 15/02,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201810975,IDP000068334,,(PA) Diberi Paten,2019/00570,25 Jan 2019,26 Dec 2018,27 May 2016,"- - -
","H02M 3/00,H02M 7/04,H02M 7/48","NISSAN MOTOR CO., LTD."
PID201802553,IDP000071311,,(PA) Diberi Paten,2018/08813,10 Aug 2018,18 Sep 2015,18 Sep 2015,"- - -
","F02D 41/00,F02D 9/02","NISSAN MOTOR CO., LTD."
P00201801227,IDP000065477,,(PA) Diberi Paten,2018/07927,27 Jul 2018,19 Feb 2018,28 Jul 2015,"- - -
","B60K 31/00,B60R 21/00,G08G 1/16","NISSAN MOTOR CO., LTD."
PID201802585,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08823,10 Aug 2018,,-,"- - -
","G02B 27/01,B60K 35/00","NISSAN MOTOR CO., LTD."
PID201802586,IDP000070985,,(PA) Diberi Paten,2018/08795,10 Aug 2018,30 Sep 2016,30 Sep 2016,"2015-196489 02 Oct 2015 JP
","F16H 61/02,F16H 59/74,B60W 10/06,B60W 10/04,B60W 10/101,F16H 61/66","NISSAN MOTOR CO., LTD."
P00201800234,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2018/07397,20 Jul 2018,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
PID201802848,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08855,16 Aug 2018,,-,"- - -
","B60R 16/033,H02J 7/14,H02J 7/34","NISSAN MOTOR CO.,LTD."
P00201709199,IDP000056859,,(PA) Diberi Paten,2018/06550,06 Jul 2018,18 Dec 2017,22 May 2015,"- - -
","B22C 9/00,B22D 17/22,B22D 18/04,B22D 18/06,B22D 18/08","NISSAN MOTOR CO., LTD."
P00201902747,IDP000071963,,(PA) Diberi Paten,2019/05040,12 Jul 2019,29 Mar 2019,15 Sep 2016,"- - -
","B60W 10/08,B60W 20/00","NISSAN MOTOR CO., LTD."
P00201801292,IDP000067060,,(PA) Diberi Paten,2018/07972,03 Aug 2018,21 Feb 2018,23 Jul 2015,"- - -
","F02D 17/00,F02D 29/02,F02D 41/06,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201801294,IDP000070416,,(PA) Diberi Paten,2018/07973,03 Aug 2018,27 Jul 2015,27 Jul 2015,"- - -
","G01C 21/34,G08G 1/00,G09B 29/00","NISSAN MOTOR CO., LTD."
PID201802554,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08818,10 Aug 2018,,-,"- - -
","F02D 9/02,F02D 41/00","NISSAN MOTOR CO., LTD."
P00201803654,IDP000065814,,(PA) Diberi Paten,2018/09100,16 Aug 2018,21 May 2018,22 Oct 2015,"- - -
","B60R 21/00,G08G 1/16,H04N 7/18","NISSAN MOTOR CO., LTD."
P00201705498,IDP000060087,,(PA) Diberi Paten,2018/02294,09 Mar 2018,21 Aug 2017,26 Jan 2015,"- - -
",B60L 15/20,"NISSAN MOTOR CO., LTD."
P00201807227,,-,(PA) Ditarik Kembali oleh Pemohon,2018/13061,21 Dec 2018,,-,"1651357 19 Feb 2016 FR
","F16H 61/28,F16H 63/50","NISSAN MOTOR CO., LTD."
P00201804183,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11271,19 Oct 2018,,-,"- - -
","F02B 23/06,F02B 23/08,F02M 61/14,F02P 13/00,F02P 5/15","NISSAN MOTOR CO., LTD."
P00201901014,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03803,31 May 2019,,-,"2016-133219 05 Jul 2016 JP
","B60W 30/12,B62D 6/00","NISSAN MOTOR CO., LTD."
P00201806086,IDP000071832,,(PA) Diberi Paten,2018/10435,28 Sep 2018,10 Aug 2018,10 Jan 2017,"2016-003702 12 Jan 2016 JP
","H02J 7/14,H02P 9/04","NISSAN MOTOR CO., LTD."
P00201806339,IDP000065280,,(PA) Diberi Paten,2019/00700,01 Feb 2019,21 Aug 2018,28 Nov 2016,"2016-011032 22 Jan 2016 JP
","B60W 30/09,B60W 40/04,G08G 1/16","NISSAN MOTOR CO., LTD."
PID201801901,IDP000060483,,(PA) Diberi Paten,2018/08185,03 Aug 2018,14 Mar 2018,03 Sep 2015,"- - -
","G06Q 30/06,G06Q 50/10","Nissan Motor Co., Ltd."
P00201704641,IDP000064463,,(PA) Diberi Paten,2018/00527,19 Jan 2018,14 Jul 2017,24 Dec 2014,"- - -
","B22D 18/04,B22D 18/08","NISSAN MOTOR CO., LTD"
P00201702764,IDP000065164,,(PA) Diberi Paten,2017/14033,29 Dec 2017,28 Apr 2017,09 Oct 2014,"- - -
","F01N 13/10,F02F 1/24,F02F 1/42","NISSAN MOTOR CO., LTD."
P00201704742,IDP000069309,,(PA) Diberi Paten,2018/03977,20 Apr 2018,19 Jul 2017,25 Jun 2015,"2015-003893 13 Jan 2015 JP
","B60W 30/14,G08G 1/16,B60W 50/14","NISSAN MOTOR CO., LTD."
P00201907113,,-,(PA) Pelayanan Teknis,2019/06263,23 Aug 2019,,-,"2017-010565 24 Jan 2017 JP
",-,NISSAN MOTOR CO.. LTD.
P00201707428,IDP000064113,,(PA) Diberi Paten,2018/05380,25 May 2018,25 Oct 2017,27 Mar 2015,"- - -
","G01C 21/34,G08G 1/00","NISSAN MOTOR CO., LTD."
P00201809051,IDP000066524,,(PA) Diberi Paten,2018/12255,16 Nov 2018,09 Nov 2018,14 Dec 2016,"2016-083820 19 Apr 2016 JP
",B60L 15/20,"NISSAN MOTOR CO., LTD."
P00201800115,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07387,20 Jul 2018,,-,"- - -
",G06Q 50/10,"NISSAN MOTOR CO., LTD."
P00201800162,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07125,20 Jul 2018,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201801413,IDP000070187,,(PA) Diberi Paten,2018/08004,03 Aug 2018,26 Feb 2018,08 Jun 2016,"2015-149033 28 Jul 2015 JP
","H02K 1/32,H02K 9/19","NISSAN MOTOR CO., LTD."
P00201801425,IDP000061937,,(PA) Diberi Paten,2018/07654,27 Jul 2018,26 Feb 2018,27 Jul 2015,"- - -
",B60T 7/12,"NISSAN MOTOR CO., LTD."
Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201806760,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2018/10431,28 Sep 2018,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201809765,IDP000065281,,(PA) Diberi Paten,2018/12750,07 Dec 2018,28 Nov 2018,30 May 2016,"- - -
","H01L 21/336,H01L 29/78,H01L 29/786","NISSAN MOTOR CO., LTD."
P00201800031,IDP000061068,,(PA) Diberi Paten,2018/06082,08 Jun 2018,03 Jan 2018,08 Jun 2015,"- - -
","F02B 67/00,F02B 67/04,F02N 11/00,F02N 11/04,F16H 13/04","NISSAN MOTOR CO.,LTD."
P00201810888,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02363,05 Apr 2019,,-,"1655822 22 Jun 2016 FR
","H02P 21/00,H02P 21/28","NISSAN MOTOR CO.,LTD."
P00201704551,IDP000056281,,(PA) Diberi Paten,2018/00337,12 Jan 2018,12 Jul 2017,15 Jan 2015,"- - -
","B22D 18/04,B22D 18/08","NISSAN MOTOR CO., LTD."
P00201807962,IDP000072643,,(PA) Diberi Paten,2019/01580,01 Mar 2019,05 Oct 2018,02 Feb 2017,"1652013 10 Mar 2016 FR
",F16H 57/04,"NISSAN MOTOR CO., LTD."
P00201807967,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12708,07 Dec 2018,,-,"1652009 10 Mar 2016 FR
","F16H 59/68,F16H 61/04,F16H 61/28,F16H 63/50,F16H 61/12","NISSAN MOTOR CO., LTD."
P00201801703,IDP000062977,,(PA) Pemberitahuan Informasi Pemeliharaan (Pertama & Kedua),2018/07655,27 Jul 2018,07 Mar 2018,09 Sep 2015,"- - -
","B29B 11/16,B29C 39/10,B29C 53/04,B29C 63/04","NISSAN MOTOR CO., LTD."
P00201806281,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2018/10947,05 Oct 2018,,-,"2016-007847 19 Jan 2016 JP
",-,"NISSAN MOTOR CO., LTD."
P00201810082,,-,(PA) Ditarik Kembali oleh Pemohon,2019/00145,11 Jan 2019,,-,"- - -
","B29B 15/08,B29C 39/10,B29C 70/16,B32B 37/12,C08J 5/04","NISSAN MOTOR CO., LTD."
P00201707237,IDP000063037,,(PA) Diberi Paten,2018/05283,18 May 2018,19 Mar 2015,19 Mar 2015,"- - -
","B60K 6/22,B60K 6/48,B60W 10/06,B60W 10/26,B60W 20/00,B60W 30/18","NISSAN MOTOR CO., LTD."
P00201605477,IDP000059703,,(PA) Diberi Paten,2017/01290,24 Feb 2017,19 Aug 2016,25 Feb 2014,"- - -
","B60L 11/18,H02J 50/00,H02J 7/00,H02J 7/02,H02J 7/04","NISSAN MOTOR CO., LTD."
P00201703717,IDP000069308,,(PA) Diberi Paten,2017/13555,15 Dec 2017,09 Jun 2017,14 Nov 2014,"- - -
","G06Q 10/02,G06Q 50/10","NISSAN MOTOR CO., LTD."
P00201607813,IDP000066339,,(PA) Diberi Paten,2017/08292,04 Aug 2017,16 Nov 2016,15 May 2014,"- - -
","F01P 3/02,F01P 7/16,F02D 41/22,F02D 41/34,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201705225,IDP000057785,,(PA) Diberi Paten,2018/02123,02 Mar 2018,09 Aug 2017,19 Feb 2015,"- - -
","B22C 9/08,B22D 18/04","NISSAN MOTOR CO., LTD."
P00201806970,IDP000071993,,(PA) Diberi Paten,2018/10971,05 Oct 2018,07 Sep 2018,26 Oct 2016,"2016-023503 10 Feb 2016 JP
","F16H 59/18,F16H 61/02,F16H 61/14,F16H 61/66","NISSAN MOTOR CO., LTD."
P00201701401,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13531,15 Dec 2017,,-,"2014-160087 06 Aug 2014 JP
","B60L 15/20,H02P 27/06,H02P 29/00","NISSAN MOTOR CO., LTD."
P00201506513,IDP000059293,,(PA) Diberi Paten,2017/03184,31 Mar 2017,12 Oct 2015,24 Mar 2014,"2013-072228 29 Mar 2013 JP
","B60L 11/18,B60M 7/00,H02J 17/00,H02J 7/00","NISSAN MOTOR CO., LTD."
P00201600476,IDP000062022,,(PA) Diberi Paten,2017/04743,05 May 2017,22 Jan 2016,30 May 2014,"2013-133438 26 Jun 2013 JP
","B60L 11/18,B60M 7/00,H02J 17/00,H02J 7/00","NISSAN MOTOR CO., LTD."
P00201901086,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/06289,23 Aug 2019,,-,"2016-138027 12 Jul 2016 JP
",G08G 1/16,"NISSAN MOTOR CO., LTD."
P00201800024,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07011,20 Jul 2018,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201601417,IDP000049534,,(PA) Masa Tenggang Dihapuskan,2016/05841,28 Oct 2016,02 Mar 2016,27 Jun 2014,"2013-164329 07 Aug 2013 JP
","B60K 1/04,H01M 2/10","NISSAN MOTOR CO., LTD."
P00201810080,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/00106,11 Jan 2019,,-,"1654522 20 May 2016 FR
","B60K 6/442,B60W 10/06,B60W 10/08,B60W 10/11,B60W 10/26,B60W 20/00,B60W 20/15,B60W 20/40,B60W 30/19","NISSAN MOTOR CO., LTD."
P00201501226,IDP000051646,,(PA) Diberi Paten,2016/02670,08 Apr 2016,27 Feb 2015,16 Aug 2013,"2012-201479 13 Sep 2012 JP
","B60H 1/00,B60H 1/22,B60H 1/32,F04B 39/00,F25B 5/04,F25B 6/04","NISSAN MOTOR CO.,LTD."
P00201811211,,-,(PA) Pemeriksa Substantif,2019/03512,24 May 2019,,-,"1656202 30 Jun 2016 FR
","B60L 11/14,B60W 20/19,B60W 20/40","NISSAN MOTOR CO., LTD."
