Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201709548,,-,(PA) Dianggap Ditarik Kembali (Direktur),2018/06740,13 Jul 2018,,-,"- - -
",B60H 1/08,"NISSAN MOTOR CO., LTD."
PID201803312,IDP000062002,,(PA) Diberi Paten,2018/10033,14 Sep 2018,23 Oct 2015,23 Oct 2015,"- - -
",F16H 61/14,"NISSAN MOTOR CO., LTD."
P00201806444,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00455,18 Jan 2019,,-,"1650613 26 Jan 2016 FR
",F16H 57/025,"NISSAN MOTOR CO., LTD"
P00201808976,IDP000069341,,(PA) Diberi Paten,2018/12251,16 Nov 2018,07 Nov 2018,15 Apr 2016,"- - -
","B60T 7/12,B60T 8/172","NISSAN MOTOR CO., LTD."
P00201901605,IDP000065355,,(PA) Diberi Paten,2019/02407,05 Apr 2019,22 Feb 2019,05 Aug 2016,"- - -
","H01L 21/822,H01L 27/04","NISSAN MOTOR CO., LTD."
P00201810330,IDP000072881,,(PA) Pembuatan Sertifikat,2019/02285,29 Mar 2019,12 Dec 2018,17 Jun 2016,"- - -
","H02M 1/08,H03K 17/04,H03K 17/16,H03K 17/687","NISSAN MOTOR CO., LTD."
P00201709558,IDP000060781,,(PA) Diberi Paten,2018/06052,08 Jun 2018,22 Dec 2017,29 May 2015,"- - -
",B25J 19/06,"NISSAN MOTOR CO., LTD."
P00201902627,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/05695,09 Aug 2019,,-,"- - -
",F02D 9/02,"NISSAN MOTOR CO., LTD."
P00201800349,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07392,20 Jul 2018,,-,"- - -
",F02M 25/08,"NISSAN MOTOR CO., LTD."
P00201907272,,-,(PA) Pelayanan Teknis,2020/00703,05 May 2020,,-,"- - -
","H01L 21/336,H01L 29/12,H01L 29/78","NISSAN MOTOR CO., LTD."
P00201801707,,-,(PA) Dianggap Ditarik Kembali (Formalitas),2018/08120,03 Aug 2018,,-,"1558446 10 Sep 2015 FR
","F16H 61/00,F16H 61/28,F16H 61/32,F16H 63/30","NISSAN MOTOR CO., LTD"
P00201801023,IDP000060516,,(PA) Diberi Paten,2018/07407,20 Jul 2018,12 Feb 2018,15 Jul 2015,"- - -
","F02B 75/32,F02D 15/02,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201709555,IDP000057814,,(PA) Diberi Paten,2018/06044,08 Jun 2018,22 Dec 2017,29 May 2015,"- - -
","F02D 41/06,F02D 41/12,F02D 43/00,F02P 5/15","NISSAN MOTOR CO., LTD."
PID201803309,IDP000061989,,(PA) Diberi Paten,2018/10031,14 Sep 2018,23 Oct 2015,23 Oct 2015,"- - -
","B60W 10/10,B60W 10/04,F16H 61/14,F02D 29/00,B60W 10/06","NISSAN MOTOR CO., LTD."
