Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201000159,IDP000036680,,(PA) Diberi Paten,050.3640,30 Sep 2010,25 Feb 2010,25 Feb 2010,"2009-072199 24 Mar 2009 JP
","F16G 5/00,F16G 5/16,F16H 9/12","1. MITSUBOSHI BELTING LTD.
2. YAMAHA HATSUDOKI KABUSHIKI KAISHA"
P00201400451,,-,(PA) Dianggap Ditarik Kembali (Direktur),2015/00857,13 Mar 2015,,-,"2011-161520 25 Jul 2011 JP
",C07K 5/06,1. KYB Corporation 2. YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201708006,IDP000065949,,(PA) Diberi Paten,2018/05757,31 May 2018,13 Nov 2017,13 May 2016,"2015-099408 14 May 2015 JP
","H02K 11/215,H02K 29/08","2. YAMAHA HATSUDOKI KABUSHIKI KAISHA
1. DENSOTRIM CO., LTD."
P00201000801,IDP000036630,,(PA) Diberi Paten,051.2557,09 Jun 2011,29 Nov 2010,29 Nov 2010,"2009-273418 01 Dec 2009 JP
",B66F 3/14,"KAWASAKI INDUSTRIAL CO., LTD."
P00201000678,IDP000046381,,(PA) Diberi Paten,2012/02146,26 Apr 2012,25 Oct 2010,25 Oct 2010,"- - -
","B66F 3/10,B66F 3/16","Kawasaki Industrial Co., Ltd."
P00201402404,IDP000065885,,(PA) Diberi Paten,2015/02483,19 Jun 2015,24 Apr 2014,24 Sep 2012,"2011-218036 30 Sep 2011 JP
",C12P 7/10,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201300754,,-,(PA) Pemeriksa Substantif,2018/10149,14 Sep 2018,,-,"2008-049674 29 Feb 2008 JP
",-,KAWASAKI JUGOGYO KABUSHIKI KAISHA
P00201402403,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2015/02514,19 Jun 2015,,-,"2011-218034 30 Sep 2011 JP
",C12P 7/10,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201000802,IDP000045618,,(PA) Menunggu Respon Dihapuskan,051.2464,09 Jun 2011,29 Nov 2010,29 Nov 2010,"2009-273417 01 Dec 2009 JP
",B66F 3/12,"KAWASAKI INDUSTRIAL CO., LTD."
P00201201275,IDP000043807,,(PA) Diberi Paten,2013/02939,25 Jul 2013,28 Dec 2012,28 Dec 2012,"2011-287553 28 Dec 2011 JP
","B62J 23/00,B62J 99/00,F01P 1/06,F04B 53/08",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201304678,IDP000052328,,(PA) Diberi Paten,2015/00522,27 Feb 2015,28 Nov 2013,28 Nov 2013,"2012-260685 29 Nov 2012 JP
","B62J 15/00,B62J 6/04,B62J 7/08",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201304666,IDP000047874,,(PA) Diberi Paten,2014/03151,11 Sep 2014,25 Nov 2013,25 Nov 2013,"2012-257858 26 Nov 2012 JP
","B62J 1/12,B62K 19/30",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201300763,IDP000052326,,(PA) Diberi Paten,2015/01272,02 Apr 2015,27 Sep 2013,27 Sep 2013,"2012-219142 01 Oct 2012 JP
",B62J 17/00,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201504543,IDP000053560,,(PA) Diberi Paten,2017/03134,31 Mar 2017,23 Jul 2015,25 Dec 2012,"- - -
","B09B 3/00,C13K 1/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201604674,,-,(PA) Ditarik Kembali oleh Pemohon,2017/06259,09 Jun 2017,,-,"- - -
",-,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201504601,IDP000052733,,(PA) Menunggu Respon Dihapuskan,2017/01337,24 Feb 2017,27 Jul 2015,03 Dec 2013,"2012-284973 27 Dec 2012 JP
",C13B 20/16,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201502239,IDP000053552,,(PA) Diberi Paten,2017/01774,03 Mar 2017,16 Apr 2015,24 Oct 2013,"2012-252151 16 Nov 2012 JP
","B62L 3/00,B62L 3/08",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201504544,IDP000060486,,(PA) Menunggu Respon Dihapuskan,2016/04233,01 Jul 2016,23 Jul 2015,03 Dec 2013,"2012-280900 25 Dec 2012 JP
","C12M 1/36,C12P 7/06",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201404515,IDP000049338,,(PA) Diberi Paten,2015/04020,11 Sep 2015,23 Jul 2014,26 Dec 2012,"2011-283408 06 Dec 2011 JP
","C04B 7/47,F27D 15/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201404517,IDP000059848,,(PA) Diberi Paten,2015/04058,11 Sep 2015,23 Jul 2014,25 Dec 2012,"2011-283567 26 Dec 2011 JP
","B09B 3/00,C02F 11/04,F23G 5/00,F23G 5/44",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201601306,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2017/05226,19 May 2017,,-,"JP 2013-160094 01 Aug 2013 JP
","B61D 15/06,B61D 17/02,B61D 17/06,B61G 11/16",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201408121,IDP000060637,,(PA) Diberi Paten,2016/05815,21 Oct 2016,23 Dec 2014,23 Dec 2014,"JP 2013-265814 24 Dec 2013 JP
","F02M 35/02,F02M 35/024",KAWASAKI JUKOGYO KABUSHIKI KAISHA
