Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201000547,IDP000045694,,(PA) Diberi Paten,051.0917,03 Mar 2011,25 Aug 2010,25 Aug 2010,"2009-197012 27 Aug 2009 JP
","B60R 13/00,B60R 13/10",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201400219,IDP000057999,,(PA) Diberi Paten,2015/04550,16 Oct 2015,13 Jan 2014,29 Jun 2012,"2011-145821 30 Jun 2011 JP
",B60Q 1/04,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201402469,IDP000052150,,(PA) Diberi Paten,2015/02346,12 Jun 2015,28 Apr 2014,03 Oct 2012,"2011-237185 28 Oct 2011 JP
","F01K 21/00,F01K 7/18",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201405609,IDP000047288,,(PA) Diberi Paten,-,-,19 Sep 2014,19 Sep 2014,"2013-194924 20 Sep 2013 JP
",B62K 21/14,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201304749,,-,(PA) Dianggap Ditarik Kembali (Direktur),2015/00527,27 Feb 2015,,-,"2012-265121 04 Dec 2012 JP
","B62M 3/16,B62M 7/00,F01N 1/00",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201000800,IDP000045102,,(PA) Diberi Paten,051.2453,09 Jun 2011,29 Nov 2010,29 Nov 2010,"2009-273416 01 Dec 2009 JP
",B66F 3/12,"KAWASAKI INDUSTRIAL CO., LTD."
P00201508460,IDP000064094,,(PA) Diberi Paten,2017/04410,28 Apr 2017,13 May 2014,13 May 2014,"2013-102740 15 May 2013 JP
",F03B 11/08,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201704730,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/00589,19 Jan 2018,,-,"2014-257004 19 Dec 2014 JP
","B25J 19/00,G05B 19/18,G05B 19/418",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201406648,IDP000058483,,(PA) Diberi Paten,2015/04437,09 Oct 2015,29 Oct 2014,26 Mar 2013,"2012-078727 30 Mar 2012 JP
","F03B 11/02,F03B 17/06,F03B 3/04,H02K 21/24,H02K 7/18",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201504604,IDP000048186,,(PA) Diberi Paten,-,-,27 Jul 2015,21 Nov 2013,"2012-284978 27 Dec 2012 JP
","B01J 3/02,C12P 7/10",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201404496,IDP000046871,,(PA) Diberi Paten,2016/03289,29 Apr 2016,23 Jul 2014,21 Dec 2012,"2011-282986 26 Dec 2011 JP
",B62D 25/08,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201304748,IDP000052346,,(PA) Menunggu Respon Dihapuskan,2015/00517,27 Feb 2015,02 Dec 2013,02 Dec 2013,"2012-269329 10 Dec 2012 JP
","B62J 17/00,B62J 6/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201601007,IDP000062676,,(PA) Diberi Paten,2017/05142,19 May 2017,17 Feb 2016,17 Jul 2014,"2013-159047 31 Jul 2013 JP
","B60R 19/34,B61D 15/06,B61G 11/16,F16F 7/12",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201802358,IDP000072960,,(PA) Pembuatan Sertifikat,2018/08543,10 Aug 2018,29 Mar 2018,23 Aug 2016,"201510545860.8 31 Aug 2015 CN
","C04B 7/47,F27B 7/38,F27D 15/02,F28C 3/16",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201608833,IDP000066397,,(PA) Diberi Paten,2018/01545,16 Feb 2018,20 Dec 2016,20 Dec 2016,"2016-202604 14 Oct 2016 JP
",B62J 9/00,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201506400,IDP000060713,,(PA) Diberi Paten,2017/03934,13 Apr 2017,09 Oct 2015,09 Oct 2015,"2014-209226 10 Oct 2014 JP
",B62J 9/02,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201805556,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09688,31 Aug 2018,,-,"2015-253123 25 Dec 2015 JP
",-,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201805592,IDP000073475,,(PA) Pembuatan Sertifikat,2018/09686,31 Aug 2018,26 Jul 2018,28 Dec 2016,"2015-256545 28 Dec 2015 JP
",-,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201905922,,-,(PA) Pelayanan Teknis,2019/06778,06 Sep 2019,,-,"2016-241209 13 Dec 2016 JP
","C04B 7/47,F27D 15/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201902468,,-,(PA) Pelayanan Teknis,2019/07404,11 Oct 2019,,-,"2016-163965 24 Aug 2016 JP
","B25J 19/06,G05B 23/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201900597,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00893,01 Feb 2019,,-,"2016-128052 28 Jun 2016 JP
","F23G 5/00,F23G 5/50",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201806876,,-,(PA) Ditarik Kembali oleh Pemohon,2018/11107,12 Oct 2018,,-,"2016-022058 08 Feb 2016 JP
",-,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201709800,IDP000063407,,(PA) Diberi Paten,2018/07292,20 Jul 2018,28 Dec 2017,14 Apr 2016,"2015-113284 03 Jun 2015 JP
",F02M 21/02,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201801483,IDP000073274,,(PA) Pembuatan Sertifikat,2018/07989,03 Aug 2018,29 Jul 2016,29 Jul 2016,"2015-149894 29 Jul 2015 JP
","B01J 3/02,B01J 4/00,B65G 33/26,B65G 65/46,F04C 13/00,F04C 15/06,F04C 2/16",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201802362,IDP000069406,,(PA) Diberi Paten,2018/08544,10 Aug 2018,29 Mar 2018,23 Aug 2016,"201510547111.9 31 Aug 2015 CN
","B02C 4/08,B02C 4/30",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201607126,IDP000057990,,(PA) Diberi Paten,2017/08006,28 Jul 2017,21 Oct 2016,04 Apr 2014,"- - -
",F16J 15/10,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201805525,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12042,09 Nov 2018,,-,"2015-256477 28 Dec 2015 JP
",G05B 23/02,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201901124,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/04987,12 Jul 2019,,-,"2016-136391 08 Jul 2016 JP
","B02C 15/04,B02C 21/00,C10L 9/08,F26B 3/06",KAWASAKI JUKOGYO KABUSHIKI KAISHA
Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201604966,IDP000057731,,(PA) Diberi Paten,2017/06436,16 Jun 2017,27 Jul 2016,22 Dec 2014,"2013-271902 27 Dec 2013 JP
",H02J 3/46,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201700020,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/12944,30 Nov 2017,,-,"- - -
",G06T 7/20,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201805591,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09687,31 Aug 2018,,-,"2015 -256546 28 Dec 2015 JP
",-,KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201604890,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/06268,09 Jun 2017,,-,"2013-269373 26 Dec 2013 JP
","B09B 3/00,C12P 19/00,C13K 1/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201804900,IDP000071759,,(PA) Diberi Paten,2018/09454,31 Aug 2018,06 Jul 2018,02 Dec 2016,"201 5-2386175 07 Dec 2015 JP
","B07B 1/12,B07C 5/342,B07C 5/36,F23G 5/44,F23G 5/50,F23J 1/02,F23J 1/06",KAWASAKI JUKOGYO KABUSHIKI KAISHA
W00201301245,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2013/04046,14 Nov 2013,,-,"2010-221706 30 Sep 2010 JP
",C12P 7/06,KAWASAKI JUKOGYO KABUSHIKI KAISHA
W00201305062,IDP000044683,,(PA) Dihapuskan,2014/04869,27 Nov 2014,30 Oct 2013,22 Mar 2012,"2011-076129 30 Mar 2011 JP
","B65G 3/04,C10L 3/06,C10L 5/48,F23G 5/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
W00201303854,IDP000061274,,(PA) Diberi Paten,2014/03176,11 Sep 2014,23 Aug 2013,11 Jan 2012,"2011-012154 24 Jan 2011 JP
",C10L 1/32,KAWASAKI JUKOGYO KABUSHIKI KAISHA
W00201303821,IDP000053290,,(PA) Diberi Paten,2015/05628,21 Dec 2015,22 Aug 2013,11 Jan 2012,"2011-012153 24 Jan 2011 JP
","C10J 3/46,C10L 1/32",KAWASAKI JUKOGYO KABUSHIKI KAISHA
W00201200423,IDP000057695,,(PA) Diberi Paten,2012/01224,08 Mar 2012,01 Feb 2012,01 Jun 2010,"2009-165071 13 Jul 2009 JP
","B01D 53/18,C01B 3/00,C01B 3/04,C01B 3/38,C10J 3/46,F25J 3/02",KAWASAKI JUKOGYO KABUSHIKI KAISHA
P00201800232,IDP000069714,,(PA) Diberi Paten,2018/07239,20 Jul 2018,10 Jan 2018,22 Aug 2016,"2015-165293 24 Aug 2015 JP
","B61F 5/30,F16F 1/387","SUMITOMO RIKO COMPANY LIMITED
KAWASAKI JUKOGYO KABUSHIKI KAISHA"
W00201201246,IDP000051353,,(PA) Dihapuskan,2012/02440,10 May 2012,02 Apr 2012,02 Sep 2009,"- - -
",C12P 7/08,1) KAWASAKI JUKOGYO KABUSHIKI KAISHA 2) THE UNIVERSITY OF TOKUSHIMA
W00201302141,IDP000051799,,(PA) Diberi Paten,2014/01861,19 Jun 2014,17 May 2013,20 Oct 2011,"201010532911.0 05 Nov 2010 CN
","C04B 7/24,C04B 7/43","ANHUI CONCH KAWASAKI ENGINEERING COMPANY LIMITED
ANHUI TONGLING CONCH CEMENT COMPANY LIMITED
ANHUI CONCH GROUP COMPANY LIMITED
KAWASAKI JUKOGYO KABUSHIKI KAISHA
BUILDING MATERIAL DESIGN AND RESEARCH INSTITUTE OF ANHUI CONCH
ANHUI CONCH KAWASAKI ENERGY CONSERVATION EQUIPMENT MANUFACTURING COMPANY LIMITED"
W00201302140,IDP000053152,,(PA) Diberi Paten,2014/02065,03 Jul 2014,17 May 2013,20 Oct 2011,"201010514609.2 21 Oct 2010 CN
",C02F 11/06,1. KAWASAKI JUKOGYO KABUSHIKI KAISHA 2. ANHUI CONCH GROUP COMPANY LIMITED 3. ANHUI CONCH KAWASAKI ENGINEERING COMPANY LIMITED 4. BUILDING MATERIAL DESIGN AND RESEARCH INSTITUTE OF ANHUI CONCH 5. ANHUI CONCH KAWASAKI ENERGY CONSERVATION EQUIPMENT MA
W00201103340,,-,(PA) Ditarik Kembali oleh Pemohon,051.5192,08 Dec 2011,,-,"- - -
",H04R 9/04,"1) PIONEER CORPORATION
1-1, Shin-Ogura, Saiwai-ku, Kawasaki-shi, Kanagawa 2120031, JAPAN"
W00201003951,IDP000033703,,(PA) Dihapuskan,051.0454,10 Feb 2011,16 Nov 2010,13 May 2009,"2008-129783 16 May 2008 JP
","F23C 1/00,F23C 5/08,F23C 9/00,F23J 1/02","1) KAWASAKI JUKOGYO KABUSHIKI KAISHA 
    1-1, Higashikawasaki-cho 3-chome, 
    Chuo-ku, Kobe-shi, Hyogo, 6508670, 
    JAPAN"
W00201101109,,-,(PA) Ditarik Kembali oleh Pemohon,051.3828,18 Aug 2011,,-,"2008-254814 30 Sep 2008 JP
",C10G 2/00,"1) JAPAN OIL, GAS AND METALS NATIONAL CORPORATION
    1310, Omiya-cho, Saiwai-ku, Kawasaki-shi, 
     Kanagawa 212-8554 Japan
2) INPEX CORPORATION
    5-3-1, Akasaka, Minato-ku, 
    Tokyo 107-6332 Japan
3) JX NIPPON OIL & ENERGY CORPORATION
    6-"
W00201003127,,-,(PA) Ditarik Kembali oleh Pemohon,050.4407,25 Nov 2010,,-,"2008-065769 14 Mar 2008 JP
","B01J 38/00,B01J 38/10,C10G 2/00","1) JAPAN OIL, GAS AND METALS NATIONAL CORPORATION
    1310, Omiya-cho, Saiwai-ku, Kawasaki-shi Kanagawa 212-8554 Japan
2) INPEX CORPORATION
    5-3-1, Akasaka, Minato-ku, Tokyo 107-6332, Japan
3) JX NIPPON OIL & ENERGY CORPORATION
    6-3, Otemachi"
W00201101520,IDP000040845,,(PA) Diberi Paten,051.2987,30 Jun 2011,27 Apr 2011,25 Sep 2009,"2008-254221 30 Sep 2008 JP
",C10G 7/12,"1) JX NIPPON OIL & ENERGY CORPORATION 
6-3, Otemachi 2-chome, Chiyoda-ku, Tokyo 100-8162 Japan
2) JAPAN OIL, GAS AND METALS NATIONAL CORPORATION
1310, Omiya-cho, Saiwai-ku, Kawasaki-shi, Kanagawa 212-8554 Japan
3) INPEX CORPORATION
5-3-1, Akasaka,"
W00201002219,IDP000057238,,(PA) Diberi Paten,051.0837,24 Feb 2011,28 Jun 2010,11 Dec 2008,"2007-326927 19 Dec 2007 JP
",C10G 2/00,"1) JAPAN OIL, GAS AND METALS NATIONAL CORPORATION
1310, Omiya-cho, Saiwai-ku, Kawasaki-shi,
Kanagawa 212-8554 Japan
2) INPEX CORPORATION
5-3-1, Akasaka, Minato-ku,
Tokyo 107-6332 Japan
3) NIPPON OIL CORPORATION
3-12, Nishi Shimbashi 1-chome,
Minato"
W00201000950,IDP000037865,,(PA) Diberi Paten,050.2269,24 Jun 2010,24 Mar 2010,25 Sep 2008,"2007-256545 28 Sep 2007 JP
",C10G 65/14,"1) Japan Oil, Gas and Metals National Corporation 
    1310 Omiya-cho, saiwai-ku, Kawasaki-shi, Kanagawa 212-8554 JAPAN
2) INPEX CORPORATION 
    5-3-1, Akasaka, Minato-ku, Tokyo 107-6332 JAPAN
3) NIPPON OIL CORPORATION
    3-12 Nishi Shimbashi 1-c"
W00201000952,,-,(PA) Dianggap Ditarik Kembali (Direktur),050.1685,27 May 2010,,-,"2007-252521 27 Sep 2007 JP
",-,"1) NIPPON STEEL ENGINEERING CO., LTD.
    5-1, Osaki 1-chome, Shinagawa-ku, Tokyo 141-8604 Japan
2) Japan Oil, Gas and Metals National Corporation
    1310, Omiya-cho, Saiwa-ku, Kawasaki-shi, Kanagawa 212-8554 Japan
3) INPEX CORPORATION
    5-3-1,"
P00201601576,,-,(PA) Ditarik Kembali oleh Pemohon,2017/05336,19 May 2017,,-,"2013-165718 09 Aug 2013 JP
","B60L 11/14,B60W 10/06,B60W 10/08,B60W 20/00",ISUZU MOTORS LIMITED
P00201402235,IDP000069029,,(PA) Diberi Paten,2015/02451,19 Jun 2015,16 Apr 2014,18 Sep 2012,"2011-205203 20 Sep 2011 JP
","B05B 5/025,B05D 1/04",ISUZU MOTORS LIMITED
P00201403831,IDP000052372,,(PA) Diberi Paten,2016/02882,18 Apr 2016,26 Jun 2014,29 Nov 2012,"2011-261794 30 Nov 2011 JP
","B05B 5/03,B05B 5/053,B05D 1/04",ISUZU MOTORS LIMITED
P00201708759,,-,(PA) Dianggap Ditarik Kembali (Direktur),2018/06425,06 Jul 2018,,-,"2016-236378 06 Dec 2016 JP
",B60H 1/00,ISUZU MOTORS LIMITED
P00201810899,,-,(PA) Ditarik Kembali oleh Pemohon,2019/00587,25 Jan 2019,,-,"2016-123345 22 Jun 2016 JP
","F02F 3/00,F02F 3/28,F02P 15/04,H01T 13/20,H01T 13/54",ISUZU MOTORS LIMITED
P00201806096,,-,(PA) Pemeriksa Substantif,2019/01375,22 Feb 2019,,-,"2017-156578 14 Aug 2017 JP
",F01N 3/08,ISUZU MOTORS LIMITED
P00201803599,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/10045,14 Sep 2018,,-,"2015-227570 20 Nov 2015 JP
",-,ISUZU MOTORS LIMITED
P00201900641,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01480,01 Mar 2019,,-,"2016-148398 28 Jul 2016 JP
","F01M 11/10,F02D 45/00",ISUZU MOTORS LIMITED
P00201901726,,-,(PA) Pemeriksa Substantif,2019/01835,15 Mar 2019,,-,"2016-169938 31 Aug 2016 JP
","F01L 1/04,F01L 1/356,F02B 77/11,F02F 1/24",ISUZU MOTORS LIMITED
P00201803598,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/10042,14 Sep 2018,,-,"2015-227565 20 Nov 2015 JP
",-,ISUZU MOTORS LIMITED
P00201805946,,-,(PA) Dianggap Ditarik Kembali (Direktur),2018/12030,09 Nov 2018,,-,"2016-021557 08 Feb 2016 JP
","B60L 11/14,B60L 7/18,B60W 10/06,B60W 10/08,F02D 29/02,F02D 41/12,B60K 6/485,B60K 6/54",ISUZU MOTORS LIMITED
P00201803801,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/10485,28 Sep 2018,,-,"2015-228881 24 Nov 2015 JP
","F01P 3/20,F01P 7/16",ISUZU MOTORS LIMITED
P00201601578,IDP000072247,,(PA) Diberi Paten,2017/05280,19 May 2017,08 Mar 2016,06 Aug 2014,"2013-165684 09 Aug 2013 JP
","B60L 11/14,B60W 10/02,B60W 10/08,B60W 20/00,F02N 11/00,F02N 11/04,B60K 6/36,B60K 6/38,B60K 6/48,B60K 6/543,B60W 10/10",ISUZU MOTORS LIMITED
P00201601583,,-,(PA) Dianggap Ditarik Kembali (Direktur),2017/05360,19 May 2017,,-,"2013-165689 09 Aug 2013 JP
","B60L 11/14,B60W 10/06,B60W 10/08,B60W 20/00,F02D 29/02,F02D 45/00,F02N 11/04,F02N 11/08,F16H 61/02,F16H 61/662,F16H 63/50,B60K 6/40,B60K 6/485,B60K 6/54,B60W 10/10,B60W 10/107",ISUZU MOTORS LIMITED
P00201601582,,-,(PA) Ditarik Kembali oleh Pemohon,2017/05279,19 May 2017,,-,"2013-165687 09 Aug 2013 JP
","B60L 11/14,B60W 10/02,B60W 10/08,B60W 20/00,F16H 9/12,B60K 6/485,B60K 6/54,B60K 6/543",ISUZU MOTORS LIMITED
P00201601577,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/05284,19 May 2017,,-,"2013-166192 09 Aug 2013 JP
","B60W 10/06,B60W 20/00,F16H 9/12,B60K 6/543,B60W 10/10",ISUZU MOTORS LIMITED
P00201601580,,-,(PA) Dianggap Ditarik Kembali (Direktur),2017/05358,19 May 2017,,-,"2013-165686 09 Aug 2013 JP
","B60W 10/06,B60W 10/08,B60W 20/00,F02N 11/00,F02N 11/04,F02N 11/08,B60K 6/485",ISUZU MOTORS LIMITED
P00201804539,IDP000072589,,(PA) Diberi Paten,2018/09980,14 Sep 2018,25 Jun 2018,19 Dec 2016,"2015-254875 25 Dec 2015 JP
","B62D 33/06,B62D 33/067,B62D 33/10",ISUZU MOTORS LIMITED
P00201801593,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08095,03 Aug 2018,,-,"2015-175142 04 Sep 2015 JP
",B62D 43/04,ISUZU MOTORS LIMITED
P00201901715,IDP000072348,,(PA) Diberi Paten,2019/01831,15 Mar 2019,27 Feb 2019,25 Aug 2017,"2016-169941 31 Aug 2016 JP
","F01N 3/023,F01N 3/025,F01N 3/033,F02D 13/02",ISUZU MOTORS LIMITED
P00201902571,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/04340,21 Jun 2019,,-,"2016-189384 28 Sep 2016 JP
",B60R 13/02,ISUZU MOTORS LIMITED
P00201901160,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02190,29 Mar 2019,,-,"2016-157757 10 Aug 2016 JP
","B01D 53/94,F01N 3/08,F01N 3/20",ISUZU MOTORS LIMITED
P00201806508,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02035,22 Mar 2019,,-,"2017-164545 29 Aug 2017 JP
","B60R 16/02,G01M 17/00",ISUZU MOTORS LIMITED
P00201902908,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03864,31 May 2019,,-,"2016-198639 07 Oct 2016 JP
","B62D 21/00,B62D 25/20",ISUZU MOTORS LIMITED
P00201901011,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03525,24 May 2019,,-,"2016-152621 03 Aug 2016 JP
","F02D 29/02,F02D 41/04,F02D 41/22,F02D 45/00",ISUZU MOTORS LIMITED
P00201805948,,-,(PA) Dianggap Ditarik Kembali (Direktur),2018/12511,30 Nov 2018,,-,"2016-021556 08 Feb 2016 JP
","B60K 6/36,B60K 6/383,B60K 6/485,B60K 6/54,F16D 41/06,F16H 7/02",ISUZU MOTORS LIMITED
P00201902532,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02879,26 Apr 2019,,-,"2016-186640 26 Sep 2016 JP
","B60T 8/17,B60W 30/12,B62D 101/00,B62D 113/00,B62D 6/00,G08G 1/16,B60W 10/184",ISUZU MOTORS LIMITED
P00201809934,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01092,15 Feb 2019,,-,"2016-111741 03 Jun 2016 JP
","F01M 13/00,F01M 13/04",ISUZU MOTORS LIMITED
