P00201200318,IDP000039766,02 Nov 2015,(PA) Diberi Paten,2013/01843,30-May-13,25-Apr-12,25-Apr-12,"2011-111356 18 May 2011 JP
",B62J 25/00,"HONDA MOTOR CO., LTD."
P00201300725,IDP000056477,08 Feb 2019,(PA) Diberi Paten,2014/02348,17-Jul-14,17-Sep-13,17-Sep-13,"2012-213967 27 Sep 2012 JP
",C22C 21/02,"HONDA MOTOR CO., LTD."
P00201508350,IDP000050117,12 Mar 2018,(PA) Menunggu Respon Dihapuskan,2016/04973,2-Sep-16,8-Dec-15,6-Feb-14,"2013-121699 10 Jun 2013 JP
","B21D 19/04,B21D 39/02","HONDA MOTOR CO., LTD."
P00201500850,IDP000052720,16 Aug 2018,(PA) Diberi Paten,2017/01323,24-Feb-17,13-Feb-15,13-Feb-15,"2014-037543 27 Feb 2014 JP
","B60T 11/06,B60T 7/06,B62K 19/30,B62K 19/38,B62L 3/08","HONDA MOTOR CO., LTD."
P00201100024,IDP000036723,15 Sep 2014,(PA) Diberi Paten,51.3599,4-Aug-11,14-Jan-11,14-Jan-11,"2010-018872 29 Jan 2010 JP
","B62J 35/00,B62J 9/00","HONDA MOTOR CO., LTD."
P00201200508,IDP000040301,17 Dec 2015,(PA) Masa Tenggang Dihapuskan,2012/04006,27-Sep-12,28-Jun-12,28-Jun-12,"2011-149090 05 Jul 2011 JP
","F16D 13/00,F16D 13/52,F16D 13/74","HONDA MOTOR CO., LTD."
P00201100003,IDP000039091,13 Jul 2015,(PA) Diberi Paten,51.3576,28-Jul-11,4-Jan-11,4-Jan-11,"2010-015235 27 Jan 2010 JP
",B62J 17/00,HONDA MOTOR CO. LTD.
P00201100011,IDP000038877,29 Jun 2015,(PA) Diberi Paten,51.3568,28-Jul-11,7-Jan-11,7-Jan-11,"2010-012429 22 Jan 2010 JP
","B62K 11/04,B62K 25/20,B62M 7/02","HONDA MOTOR CO., LTD."
P00201300302,IDP000053046,29 Aug 2018,(PA) Diberi Paten,2014/02316,3-Jul-14,22-Apr-13,22-Apr-13,"2012-101629 26 Apr 2012 JP
","B62J 17/00,B62J 23/00","HONDA MOTOR CO., LTD."
P00201100324,IDP000043475,24 Nov 2016,(PA) Diberi Paten,51.5388,22-Dec-11,9-Jun-11,9-Jun-11,"2010-134464 11 Jun 2010 JP
","B62D 35/00,B62K 19/00","HONDA MOTOR CO., LTD."
P00201200040,IDP000042489,24 Aug 2016,(PA) Diberi Paten,2012/03747,30-Aug-12,25-Jan-12,25-Jan-12,"2011-018265 31 Jan 2011 JP
","F02M 35/024,F02M 35/14,F02M 35/16","HONDA MOTOR CO., LTD."
