Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201403631,IDP000048244,,(PA) Dihapuskan,2015/00248,5-Feb-15,20-Jun-14,20-Jun-14,"2013-142864 08 Jul 2013 JP
","F04C 15/00,F04C 2/10","HONDA MOTOR CO., LTD."
P00201503043,IDP000056137,,(PA) Diberi Paten,2016/03892,10-Jun-16,21-May-15,26-Nov-13,"2012-258312 27 Nov 2012 JP
","B60R 16/02,B62J 11/00,B62J 15/00","HONDA MOTOR CO., LTD."
P00201501469,IDP000059945,,(PA) Diberi Paten,2016/05622,14-Oct-16,13-Mar-15,13-Mar-15,"2014-059722 24 Mar 2014 JP
","F16G 5/18,F16H 9/24","HONDA MOTOR CO., LTD."
P00201300641,IDP000044405,,(PA) Diberi Paten,2014/01546,5-Jun-14,28-Aug-13,28-Aug-13,"2012-208673 21 Sep 2012 JP
","B62J 17/00,B62J 25/00","HONDA MOTOR CO., LTD."
P00201300705,IDP000056478,,(PA) Diberi Paten,2014/02937,28-Aug-14,12-Sep-13,12-Sep-13,"2012-213817 27 Sep 2012 JP
",B62L 3/00,"HONDA MOTOR CO., LTD."
P00201608330,IDP000067042,,(PA) Diberi Paten,2018/01576,16-Feb-18,6-Dec-16,6-Dec-16,"2015-247251 18 Dec 2015 JP
","B62J 23/00,B62J 6/02,B62J 99/00","HONDA MOTOR CO., LTD."
P00201605996,IDP000064699,,(PA) Diberi Paten,2017/06035,9-Jun-17,7-Sep-16,16-Mar-15,"2014-070275 28 Mar 2014 JP
",F01M 1/06,"HONDA MOTOR CO., LTD."
P00201707611,IDP000067960,,(PA) Diberi Paten,2018/05455,25-May-18,30-Oct-17,31-Mar-15,"- - -
","B62J 11/00,B62J 99/00","HONDA MOTOR CO.,LTD."
P00201807635,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11111,12-Oct-18,,-,"2016-056012 18 Mar 2016 JP
",B22D 13/10,"HONDA MOTOR CO., LTD."
P00201607847,IDP000068496,,(PA) Diberi Paten,2018/01844,23-Feb-18,18-Nov-16,18-Nov-16,"2015/228695 24 Nov 2015 JP
",B62M 7/00,"HONDA MOTOR CO., LTD."
P00201600929,IDP000067805,,(PA) Diberi Paten,2017/04865,12-May-17,11-Feb-16,11-Feb-16,"2015-036784 26 Feb 2015 JP
","B62K 11/02,B62L 3/04","HONDA MOTOR CO., LTD."
P00201900415,,-,(PA) Pelayanan Teknis,2019/06581,6-Sep-19,,-,"2018-022567 09 Feb 2018 JP
","B62J 99/00,B62M 7/02,F01P 11/04",HONDA MOTOR CO.. LTD.
P00201900423,,-,(PA) Pelayanan Teknis,2019/06586,6-Sep-19,,-,"2018-022568 09 Feb 2018 JP
",B60K 1/00,"HONDA MOTOR CO., LTD."
P00201810872,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/04927,12-Jul-19,,-,"201741046774 27 Dec 2017 IN
",-,"HONDA MOTOR CO., LTD."
P00201906803,,-,(PA) Pelayanan Teknis,2019/06107,23-Aug-19,,-,"2017-023375 10 Feb 2017 JP
",-,"HONDA MOTOR CO., LTD."
P00201902672,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07267,4-Oct-19,,-,"- - -
","A01B 33/02,F02D 11/02","HONDA MOTOR CO., LTD."
P00201810415,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/04603,28-Jun-19,,-,"2017-244739 21 Dec 2017 JP
","F02B 67/06,F16H 7/08","HONDA MOTOR CO., LTD."
P00201702060,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13780,29-Dec-17,,-,"2016-070006 31 Mar 2016 JP
","B62K 11/10,F16H 57/02","HONDA MOTOR CO., LTD."
P00201801010,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07806,27-Jul-18,,-,"201510441357.8 24 Jul 2015 CN
","B60Q 1/04,B62J 23/00,B62J 6/02,F21S 8/10","HONDA MOTOR CO., LTD."
P00201601720,IDP000064075,,(PA) Pemberitahuan Informasi Pemeliharaan (Pertama & Kedua),2017/05475,26-May-17,15-Mar-16,15-Mar-16,"2015-054264 18 Mar 2015 JP
","B60K 17/02,B60K 17/04,B60K 17/06,B62M 11/06,B62M 9/00","HONDA MOTOR CO., LTD."
P00201401373,IDP000045292,,(PA) Dihapuskan,2015/01373,10-Apr-15,10-Mar-14,13-Sep-12,"2011-201025 14 Sep 2011 JP
","B60W 10/04,F16H 21/20,F16H 31/00,F16H 61/02","HONDA MOTOR CO., LTD."
P00201300724,IDP000056467,,(PA) Diberi Paten,2014/04081,23-Oct-14,17-Sep-13,17-Sep-13,"2012-213818 27 Sep 2012 JP
","B62L 3/00,B62L 3/02","HONDA MOTOR CO., LTD."
P00201608601,IDP000062482,,(PA) Diberi Paten,2017/08660,11-Aug-17,14-Dec-16,14-Dec-16,"2015-244440 15 Dec 2015 JP
","B62H 1/02,B62J 17/04,B62J 6/18,B62K 19/30,B62K 21/18","HONDA MOTOR CO., LTD."
P00201607011,IDP000060349,,(PA) Diberi Paten,2017/07874,28-Jul-17,19-Oct-16,31-Mar-14,"- - -
","B60Q 1/04,B60Q 1/34,B60Q 1/38,B62J 6/00,F21V 19/00","HONDA MOTOR CO., LTD."
P00201802874,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08689,10-Aug-18,,-,"- - -
","B62K 11/06,B62K 19/28","HONDA MOTOR CO., LTD."
P00201703671,IDP000065698,,(PA) Diberi Paten,2018/00869,26-Jan-18,9-Jun-17,6-Nov-15,"2014-239326 26 Nov 2014 JP
",F16F 15/26,"HONDA MOTOR CO., LTD."
P00201700065,IDP000059464,,(PA) Diberi Paten,2017/12945,30-Nov-17,6-Jan-17,6-Jan-17,"201611000782 08 Jan 2016 IN
","B62J 17/00,B62J 6/02","HONDA MOTOR CO., LTD."
P00201807734,IDP000069527,,(PA) Diberi Paten,2018/11152,12-Oct-18,28-Sep-18,24-Jan-17,"2016-056090 18 Mar 2016 JP
","B29C 45/20,B29C 45/27","HONDA MOTOR CO., LTD."
P00201900492,,-,(PA) Pemeriksa Substantif,2019/07261,4-Oct-19,,-,"2018-062896 28 Mar 2018 JP
","B62K 11/02,B62K 25/20","HONDA MOTOR CO., LTD."
P00201802113,IDP000072517,,(PA) Diberi Paten,2018/08467,10-Aug-18,22-Mar-18,30-Sep-15,"- - -
",B62K 21/06,"HONDA MOTOR CO., LTD."
P00201906728,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/05928,16-Aug-19,,-,"2017-033593 24 Feb 2017 JP
","B62J 35/00,B62J 99/00","HONDA MOTOR CO., LTD."
P00201806164,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/10884,5-Oct-18,,-,"2016-011699 25 Jan 2016 JP
",-,"HONDA MOTOR CO., LTD."
P00201601568,IDP000062882,,(PA) Diberi Paten,2017/05382,19-May-17,8-Mar-16,18-Sep-13,"- - -
","B60J 10/04,B60J 5/04","HONDA MOTOR CO., LTD."
P00201700863,IDP000071464,,(PA) Diberi Paten,2017/13274,8-Dec-17,7-Feb-17,4-Aug-15,"2014-162754 08 Aug 2014 JP
","B23K 26/04,B23K 26/08,B23K 26/082","HONDA MOTOR CO., LTD."
P00201806410,IDP000070136,,(PA) Diberi Paten,2018/10909,5-Oct-18,21-Aug-18,28-Feb-17,"2016-046373 09 Mar 2016 JP
","F01N 3/00,G01M 15/10,G01M 3/02,G01N 1/00,G01N 1/22","HONDA MOTOR CO.,	LTD."
P00201705158,IDP000063560,,(PA) Diberi Paten,2018/00699,26-Jan-18,7-Aug-17,31-Mar-15,"- - -
",B62J 37/00,"HONDA MOTOR CO., LTD."
P00201906236,,-,(PA) Pelayanan Teknis,2020/00614,6-Mar-20,,-,"2018-154525 21 Aug 2018 JP
",B62J 15/00,"HONDA MOTOR CO., LTD"
