Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201604369,IDP000064238,,(PA) Diberi Paten,2018/00924,26-Jan-18,29-Jun-16,29-Jun-16,"201510367914.6 29 Jun 2015 CN
","B62J 23/00,B62K 11/02,B62K 19/00","HONDA MOTOR CO., LTD."
P00201606604,IDP000063514,,(PA) Diberi Paten,2017/07674,21-Jul-17,30-Sep-16,18-Jul-14,"PCT/TH2014/000015 31 Mar 2014 TH
","B62J 37/00,B62J 9/00,B62J 99/00",HONDA MOTOR COMPANY LIMITED
P00201606292,IDP000061444,,(PA) Diberi Paten,2018/01669,16-Feb-18,20-Sep-16,20-Sep-16,"2015-187769 25 Sep 2015 JP
","F02B 67/06,F16H 7/08,F16H 7/18","HONDA MOTOR CO., LTD."
P00201810410,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/06062,16-Aug-19,,-,"201741046821 27 Dec 2017 IN
","B60T 8/34,B60T 8/36,B62L 3/00,B62L 3/02","HONDA MOTOR CO., LTD."
P00201503819,IDP000059097,,(PA) Diberi Paten,2017/02580,17-Mar-17,23-Jun-15,22-Nov-13,"2013-026121 13 Feb 2013 JP
","F16H 59/72,F16H 61/02,F16H 61/662","HONDA MOTOR CO., LTD."
P00201700022,IDP000064357,,(PA) Diberi Paten,2017/12913,30-Nov-17,4-Jan-17,4-Jan-17,"2016-009629 21 Jan 2016 JP
",F01N 1/08,"HONDA MOTOR CO., LTD."
P00201605067,,-,(PA) Dianggap Ditarik Kembali (Direktur),2017/06024,9-Jun-17,,-,"2015-157472 07 Aug 2015 JP
","F16H 57/00,F16H 9/00","HONDA MOTOR CO., LTD."
P00201801832,,-,(PA) Pemeriksa Substantif,2018/10443,28-Sep-18,,-,"2017-054032 21 Mar 2017 JP
",F02D 41/04,"HONDA MOTOR CO,, LTD"
P00201900608,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/00859,1-Feb-19,,-,"- - -
",B63H 25/02,"HONDA MOTOR CO., LTD."
P00201905962,,-,(PA) Pelayanan Teknis,2019/05354,26-Jul-19,,-,"- - -
","G07C 5/00,G08G 1/00","HONDA MOTOR CO., LTD."
P00201900885,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02187,29-Mar-19,,-,"201610911159.8 19 Oct 2016 CN
","B62J 6/00,B62J 6/02","HONDA MOTOR CO., LTD."
P00201701288,IDP000065615,,(PA) Diberi Paten,2017/13460,15-Dec-17,27-Feb-17,28-Apr-15,"2014-174582 28 Aug 2014 JP
","B60C 25/12,B60C 25/14","HONDA MOTOR CO., LTD."
P00201806484,IDP000071005,,(PA) Diberi Paten,2018/11103,12-Oct-18,24-Aug-18,3-Mar-17,"2016-045800 09 Mar 2016 JP
",-,"HONDA MOTOR CO., LTD."
Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201906279,,-,(PA) Pemeriksa Substantif,2020/00470,14-Feb-20,,-,"2018-144414 31 Jul 2018 JP
",B62J 37/00,"HONDA MOTOR CO., LTD."
P00201807188,IDP000072704,,(PA) Diberi Paten,2019/02349,5-Apr-19,14-Sep-18,14-Sep-18,"2017-188580 28 Sep 2017 JP
","B60N 2/56,B62J 1/12","HONDA MOTOR CO., LTD."
P00201605401,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/06098,9-Jun-17,,-,"2014-022944 10 Feb 2014 JP
",F16H 61/00,"HONDA MOTOR CO., LTD."
P00201407450,IDP000048392,,(PA) Diberi Paten,2016/03480,20-May-16,27-Nov-14,27-Nov-14,"2013-245492 27 Nov 2013 JP
","F16H 57/00,F16H 57/04,F16H 57/10,F16H 9/12","HONDA MOTOR CO., LTD."
P00201602322,IDP000059961,,(PA) Diberi Paten,2017/05534,26-May-17,7-Apr-16,24-Apr-14,"2013-205985 30 Sep 2013 JP
","F02D 11/10,F02D 17/00,F02D 29/02,F02D 29/06,F02D 41/04,F02D 9/02,H02J 7/16","HONDA MOTOR CO., LTD."
P00201405538,IDP000054282,,(PA) Diberi Paten,2016/03066,22-Apr-16,17-Sep-14,17-Sep-14,"2013-205981 30 Sep 2013 JP
","B62K 19/38,B62L 3/00","HONDA MOTOR CO., LTD."
P00201606282,IDP000063427,,(PA) Diberi Paten,2017/07371,14-Jul-17,20-Sep-16,20-Mar-15,"2014-068393 28 Mar 2014 JP
","F01P 3/02,F01P 5/10,F02F 1/10,F02F 1/20","HONDA MOTOR CO., LTD."
P00201603298,IDP000064777,,(PA) Diberi Paten,2017/06716,22-Jun-17,18-May-16,24-Sep-14,"2013-238536 19 Nov 2013 JP
","B29C 45/73,B29C 45/77","HONDA MOTOR CO., LTD."
P00201506094,IDP000058828,,(PA) Diberi Paten,2017/03523,7-Apr-17,29-Sep-15,29-Sep-15,"2014-199971 20 Sep 2014 JP
","C21D 1/00,C21D 1/06,C21D 9/40,C23C 8/26","HONDA MOTOR CO., LTD."
P00201506148,,-,(PA) Dianggap Ditarik Kembali (Direktur),2017/01033,17-Feb-17,,-,"2013-078148 04 Apr 2013 JP
","H02M 3/00,H02M 7/48,H05K 7/20","HONDA MOTOR CO., LTD"
P00201700501,IDP000068957,,(PA) Diberi Paten,2017/13137,8-Dec-17,24-Jan-17,24-Jan-17,"2016-013653 27 Jan 2016 JP
","B62K 25/06,B62L 1/00,F16D 65/00,F16D 65/02,F16F 9/32","HONDA MOTOR CO., LTD."
P00201703718,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/00216,12-Jan-18,,-,"2014-247121 05 Dec 2014 JP
","B23K 11/30,B23K 11/36","HONDA MOTOR CO., LTD."
P00201806165,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/10885,5-Oct-18,,-,"2016-011708 25 Jan 2016 JP
","F01P 1/02,F02B 67/00,F02M 35/02,F02M 35/022,F02M 35/08","HONDA MOTOR CO., LTD."
P00201801456,IDP000066330,,(PA) Diberi Paten,2018/08055,3-Aug-18,27-Feb-18,17-Jun-16,"2015-151421 31 Jul 2015 JP
","B60K 1/04,H01M 2/10","HONDA MOTOR CO., LTD."
P00201600025,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2017/07325,14-Jul-17,,-,"2013-123673 12 Jun 2013 JP
","B60R 16/02,G06F 3/0488","HONDA MOTOR CO., LTD."
P00201900568,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,-,12-May-17,,-,"2013-256214 11 Dec 2013 JP
","A01M 7/00,B05B 9/08","HONDA MOTOR CO., LTD."
P00201800102,,-,(PA) Pemeriksa Substantif,2018/07096,20-Jul-18,,-,"- - -
",B62D 21/00,"HONDA MOTOR CO., LTD."
P00201900642,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/06589,6-Sep-19,,-,"2018-035143 28 Feb 2018 JP
","F01P 1/06,F01P 3/02,F01P 3/04,F02B 61/02","HONDA MOTOR CO., LTD."
P00201900645,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01881,15-Mar-19,,-,"2016-178810 13 Sep 2016 JP
","F21S 8/10,F21Y 101/00","HONDA MOTOR CO., LTD."
P00201600284,IDP000067259,,(PA) Diberi Paten,2016/06101,11-Nov-16,18-Jan-16,18-Jan-16,"2015-019284 03 Feb 2015 JP
","F01N 13/00,F01N 13/08,F01N 3/24","HONDA MOTOR CO., LTD."
P00201809940,IDP000072124,,(PA) Diberi Paten,2018/12768,7-Dec-18,3-Dec-18,3-Jun-16,"- - -
","B62H 1/02,B62K 11/06","HONDA MOTOR CO., LTD."
P00201705688,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/02865,23-Mar-18,,-,"201610771303.2 30 Aug 2016 CN
",-,"HONDA MOTOR CO., LTD."
P00201704094,IDP000063382,,(PA) Diberi Paten,2018/00287,12-Jan-18,20-Jun-17,20-Jun-17,"2016-131116 30 Jun 2016 JP
",B62J 37/00,"HONDA MOTOR CO., LTD."
P00201806643,IDP000065093,,(PA) Diberi Paten,2018/10893,5-Oct-18,28-Aug-18,18-Mar-16,"- - -
","B62J 11/00,B62J 35/00,B62J 99/00,B62K 11/04","HONDA MOTOR CO., LTD."
P00201900783,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07222,4-Oct-19,,-,"2018-066197 29 Mar 2018 JP
",F16H 63/30,"HONDA MOTOR CO., LTD."
P00201900784,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01741,8-Mar-19,,-,"2016-194618 30 Sep 2016 JP
","F01P 5/02,F04D 29/28,F04D 29/66","HONDA MOTOR CO., LTD."
P00201800364,IDP000067418,,(PA) Diberi Paten,2018/09810,7-Sep-18,16-Jan-18,16-Jan-18,"2017-009792 23 Jan 2017 JP
",B62J 1/20,"HONDA MOTOR CO., LTD."
P00201900792,,-,(PA) Pemeriksa Substantif,2019/07371,11-Oct-19,,-,"2018-070591 02 Apr 2018 JP
",B62J 6/18,"HONDA MOTOR CO., LTD."
P00201800880,IDP000057930,,(PA) Diberi Paten,2018/07583,27-Jul-18,6-Feb-18,30-Sep-15,"- - -
","B60Q 1/30,B60Q 1/56,B62J 6/04","HONDA MOTOR CO., LTD."
P00201900882,,-,(PA) Pemeriksa Substantif,2019/05586,2-Aug-19,,-,"2016-184248 21 Sep 2016 JP
",F01P 11/10,"HONDA MOTOR CO., LTD."
P00201801715,IDP000066518,,(PA) Diberi Paten,2018/10425,28-Sep-18,8-Mar-18,8-Mar-18,"2017-049404 15 Mar 2017 JP
",B62J 6/02,"HONDA MOTOR CO., LTD."
P00201809821,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/04909,12-Jul-19,,-,"201741046796 27 Dec 2017 IN
",-,"HONDA MOTOR CO., LTD."
P00201600221,IDP000058844,,(PA) Diberi Paten,2017/04691,5-May-17,14-Jan-16,9-Apr-14,"2013-137285 28 Jun 2013 JP
","B62J 35/00,B62J 37/00,B62J 9/00","HONDA MOTOR CO., LTD."
P00201900631,IDP000073197,,(PA) Pembuatan Sertifikat,2019/00874,1-Feb-19,25-Jan-19,31-Aug-16,"- - -
","B62J 27/00,B62J 99/00","HONDA MOTOR CO., LTD."
P00201900686,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07082,27-Sep-19,,-,"2018-056727 23 Mar 2018 JP
","B62J 35/00,B62K 11/10","HONDA MOTOR CO., LTD."
P00201806677,IDP000070879,,(PA) Diberi Paten,2018/10898,5-Oct-18,29-Aug-18,24-Feb-17,"2016-038066 29 Feb 2016 JP
","B60T 11/06,B60T 7/10,B62J 99/00,B62L 3/02,B62L 3/08,G05G 1/04,G05G 7/10,G05G 9/00","HONDA MOTOR CO., LTD."
P00201900894,IDP000067682,,(PA) Diberi Paten,2019/01036,8-Feb-19,30-Jan-19,8-Aug-16,"- - -
","B62J 25/00,B62J 9/00","HONDA MOTOR CO., LTD."
P00201801563,IDP000064554,,(PA) Diberi Paten,2018/11236,19-Oct-18,1-Mar-18,1-Mar-18,"2017-067563 30 Mar 2017 JP
",F16C 3/14,"HONDA MOTOR CO., LTD."
P00201806872,IDP000067230,,(PA) Diberi Paten,2018/11105,12-Oct-18,5-Sep-18,8-Mar-16,"- - -
","B60K 11/06,B60R 16/02,B62M 9/08,B62J 99/00","HONDA MOTOR CO., LTD."
P00201801909,IDP000070071,,(PA) Diberi Paten,2018/08254,3-Aug-18,16-Mar-18,8-Sep-15,"- - -
",B62J 1/12,"HONDA MOTOR CO., LTD."
P00201808292,IDP000070508,,(PA) Diberi Paten,2018/12520,30-Nov-18,17-Oct-18,28-Feb-17,"2016-053534 17 Mar 2016 JP
","B62M 7/02,F01N 13/08","HONDA MOTOR CO., LTD."
P00201709664,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/06966,13-Jul-18,,-,"2017-004591 13 Jan 2017 JP
","B62M 7/02,F01N 13/00","HONDA MOTOR CO., LTD."
P00201705047,IDP000061885,,(PA) Diberi Paten,2018/00706,26-Jan-18,31-Jul-17,31-Mar-15,"- - -
","B62J 23/00,B62J 6/02","HONDA MOTOR CO., LTD."
P00201804101,IDP000067157,,(PA) Diberi Paten,2018/09310,24-Aug-18,5-Jun-18,13-Jan-16,"- - -
","B62J 6/00,B62J 6/02,F21S 8/10","HONDA MOTOR CO., LTD."
P00201702022,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13768,29-Dec-17,,-,"2016-071648 31 Mar 2016 JP
","F02B 67/06,F16H 7/08","HONDA MOTOR CO., LTD."
P00201805728,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09705,7-Sep-18,,-,"201611000781 08 Jan 2016 IN
","B62J 23/00,B62J 9/00","HONDA MOTOR CO., LTD."
P00201807178,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11768,2-Nov-18,,-,"2016-053284 17 Mar 2016 JP
","F02D 9/02,F02D 9/10","HONDA MOTOR CO., LTD."
P00201706826,IDP000066529,,(PA) Diberi Paten,2018/01425,9-Feb-18,5-Oct-17,3-Apr-15,"- - -
","B62J 13/04,B62J 15/00,B62K 25/20","HONDA MOTOR CO., LTD"
S00201600859,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2016/S/00220,13-May-16,,-,"- - -
","B60R 13/00,B62K 19/00",PT. ASTRA HONDA MOTOR
P00201706872,IDP000063841,,(PA) Pemberitahuan Informasi Pemeliharaan (Pertama & Kedua),2018/01412,9-Feb-18,6-Oct-17,3-Apr-15,"- - -
",F21S 8/10,"HONDA MOTOR CO., LTD."
Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201706672,IDP000062739,,(PA) Diberi Paten,2018/05036,18-May-18,29-Sep-17,29-Sep-17,"2016-195300 30 Sep 2016 JP
","B62J 11/00,B62J 9/00,B62K 11/04,H01M 2/10","HONDA MOTOR CO., LTD."
P00201201249,IDP000054558,,(PA) Diberi Paten,2013/03023,29-Aug-13,20-Dec-12,20-Dec-12,"2012-007447 17 Jan 2012 JP
","B62J 1/12,B62J 9/00","HONDA MOTOR CO., LTD."
P00201300194,IDP000052156,,(PA) Diberi Paten,2013/04865,2-Jan-14,20-Mar-13,20-Mar-13,"2012-080976 30 Mar 2012 JP
","F02D 41/04,F02D 41/14,F02D 45/00","HONDA MOTOR CO., LTD."
P00201605575,IDP000060213,,(PA) Diberi Paten,2018/01040,2-Feb-18,24-Aug-16,24-Aug-16,"2015-174112 03 Sep 2015 JP
",B62L 3/02,"HONDA MOTOR CO., LTD."
P00201601626,IDP000060062,,(PA) Diberi Paten,2017/05369,19-May-17,11-Mar-16,11-Mar-16,"2015-069354 30 Mar 2015 JP
","B60K 15/05,F02M 37/00","HONDA MOTOR CO., LTD."
P00201100480,IDP000038382,,(PA) Diberi Paten,2012/01105,8-Mar-12,12-Aug-11,12-Aug-11,"2010-194972 31 Aug 2010 JP
","B62J 23/00,B62J 99/00","HONDA MOTOR CO., LTD."
P00201400162,IDP000056056,,(PA) Diberi Paten,2015/00450,20-Feb-15,10-Jan-14,10-Jan-14,"2013-014370 29 Jan 2013 JP
","B60N 2/40,B62J 1/00","HONDA MOTOR CO., LTD."
P00201408298,IDP000053095,,(PA) Diberi Paten,2015/04427,2-Oct-15,30-Dec-14,21-Feb-13,"2012-127349 04 Jun 2012 JP
","B23P 19/00,B23P 19/04,B23P 21/00,B62D 65/00","HONDA MOTOR CO., LTD."
P00201600699,IDP000058923,,(PA) Diberi Paten,2017/04976,12-May-17,2-Feb-16,6-Aug-13,"- - -
","H01R 13/52,H05K 1/02,H05K 1/11,H05K 3/28","HONDA MOTOR CO., LTD."
P00201100675,IDP000041836,,(PA) Diberi Paten,2012/02472,24-May-12,7-Nov-11,7-Nov-11,"2010-251442 10 Nov 2010 JP
",F01N 11/00,"HONDA MOTOR CO., LTD."
P00201400247,IDP000050080,,(PA) Diberi Paten,2015/04708,23-Oct-15,16-Jan-14,16-Jan-14,"2013-017628 31 Dec 2013 JP
","B01D 53/34,B01D 53/86,B01J 23/00","HONDA MOTOR CO., LTD."
P00201601348,IDP000061564,,(PA) Diberi Paten,2017/05044,12-May-17,1-Mar-16,8-Jul-14,"2013-173574 23 Aug 2013 JP
","B60R 21/20,B60R 21/237","HONDA MOTOR CO., LTD."
P00201608368,IDP000061957,,(PA) Diberi Paten,2017/08506,4-Aug-17,7-Dec-16,7-Dec-16,"2015-252927 25 Dec 2015 JP
","B62M 11/16,B62M 7/12,B62M 9/14,F16H 57/02,F16H 57/035","HONDA MOTOR CO., LTD."
P00201606099,IDP000066263,,(PA) Diberi Paten,2017/07691,21-Jul-17,13-Sep-16,13-Sep-16,"2015-189913 28 Sep 2015 JP
","F02D 29/02,F02N 11/04,F02N 11/08","HONDA MOTOR CO., LTD."
P00201000369,IDP000040152,,(PA) Dihapuskan,50.4682,16-Dec-10,7-Jun-10,7-Jun-10,"2009-139276 10 Jun 2009 JP
","B62J 99/00,B62J 23/00,B62J 6/02","HONDA MOTOR CO., LTD."
P00201500201,IDP000053469,,(PA) Diberi Paten,2017/02341,17-Mar-17,14-Jan-15,14-Jan-15,"2014-007572 20 Jan 2014 JP
","B60R 25/01,B60R 25/24,B62J 17/06,B62J 99/00,E05B 83/00","HONDA MOTOR CO., LTD."
P00201503610,IDP000053036,,(PA) Diberi Paten,2017/03233,31-Mar-17,16-Jun-15,18-Dec-13,"2012-275804 18 Dec 2012 JP
","B23K 11/06,B23K 11/24","HONDA MOTOR CO., LTD."
P00201602815,IDP000063442,,(PA) Diberi Paten,2017/05980,9-Jun-17,26-Apr-16,28-Oct-14,"2013-224576 29 Oct 2013 JP
",B23K 11/11,"HONDA MOTOR CO., LTD."
P00201300113,IDP000041881,,(PA) Pembuatan Sertifikat,2013/03265,26-Sep-13,20-Feb-13,20-Feb-13,"2012-262711 30 Nov 2012 JP
","B60C 11/00,B60C 13/00,B60C 19/00","HONDA MOTOR CO., LTD."
P00201100178,IDP000039327,,(PA) Diberi Paten,51.466,6-Oct-11,24-Mar-11,24-Mar-11,"2010-075849 29 Mar 2010 JP
","F01L 1/04,F01L 1/12,F01L 1/18,F02F 1/24","HONDA MOTOR CO., LTD."
P00201601427,IDP000061625,,(PA) Diberi Paten,2017/05325,19-May-17,3-Mar-16,4-Sep-14,"2013-183475 04 Sep 2013 JP
","B62D 25/04,B62D 27/02","HONDA MOTOR CO., LTD."
P00201407686,IDP000052879,,(PA) Menunggu Respon Dihapuskan,2016/03473,20-May-16,8-Dec-14,8-Dec-14,"2013-254912 10 Dec 2013 JP
",H02K 9/19,"HONDA MOTOR CO., LTD."
P00201000213,IDP000036323,,(PA) Dihapuskan,51.0523,10-Feb-11,17-Mar-10,17-Mar-10,"2009-069030 19 Mar 2009 JP
","F16H 3/62,F16H 3/66,F16H 59/44","HONDA MOTOR CO., LTD."
