Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201000492,IDP000033967,,(PA) Diberi Paten,051.0394,10 Feb 2011,04 Aug 2010,04 Aug 2010,"JP2009-181962 04 Aug 2009 JP
",B62J 6/04,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201407106,IDP000044785,,(PA) Diberi Paten,2015/02100,29 May 2015,17 Nov 2014,17 Nov 2014,"2013-239836 20 Nov 2013 JP
","F02B 61/02,F16H 63/18",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201503184,IDP000059163,,(PA) Dihapuskan,2016/05770,21 Oct 2016,28 May 2015,28 May 2015,"JP 2014-114616 03 Jun 2014 JP
","F02D 45/00,F02N 11/04,F16D 41/067,F16H 1/00",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201503185,IDP000055437,,(PA) Dihapuskan,2017/02582,17 Mar 2017,28 May 2015,28 May 2015,"JP 2014-112722 30 May 2014 JP
","B60K 13/02,B62K 11/10,B62K 19/46,F02M 35/16",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201300766,IDP000051059,,(PA) Diberi Paten,2014/02135,03 Jul 2014,27 Sep 2013,27 Sep 2013,"JP2012-219305 01 Oct 2012 JP
",F02F 1/00,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201201055,IDP000044268,,(PA) Diberi Paten,2013/03739,31 Oct 2013,28 Nov 2012,28 Nov 2012,"2012070636 27 Mar 2012 JP
","B62J 17/00,B62J 9/00",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201201073,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2016/06033,11 Nov 2016,,-,"2011-262218 30 Nov 2011 JP
","B60Q 1/04,B62J 6/02,B62K 19/30",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201600608,IDP000066497,,(PA) Diberi Paten,2017/04216,21 Apr 2017,29 Jan 2016,30 Jun 2014,"2013-207729 02 Oct 2013 JP
","B62J 6/00,B62J 6/02,B62K 5/08,B62K 5/10",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201300244,IDP000051430,,(PA) Diberi Paten,2014/01093,08 May 2014,28 Mar 2013,28 Mar 2013,"JP2012-226283 11 Oct 2012 JP
",B62J 15/00,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201701941,IDP000065697,,(PA) Diberi Paten,2017/13720,29 Dec 2017,27 Mar 2017,27 Mar 2017,"2016-072379 31 Mar 2016 JP
",B62J 6/02,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201406819,,-,(PA) Ditarik Kembali oleh Pemohon,2015/01947,22 May 2015,,-,"2013-230519 06 Nov 2013 JP
",-,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201200915,IDP000049441,,(PA) Diberi Paten,2013/03506,24 Oct 2013,29 Oct 2012,29 Oct 2012,"2011-289096 28 Dec 2011 JP
",F02M 35/024,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201200926,IDP000053464,,(PA) Diberi Paten,2013/04495,28 Nov 2013,30 Oct 2012,30 Oct 2012,"2012-120807 28 May 2012 JP
","B62J 35/00,B62K 11/04",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201100293,IDP000042671,,(PA) Dihapuskan,051.5298,08 Dec 2011,24 May 2011,24 May 2011,"2010-118301 24 May 2010 JP
",B62J 17/00,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201502859,IDP000065285,,(PA) Diberi Paten,2016/06395,25 Nov 2016,13 May 2015,13 May 2015,"JP 2014-108810 27 May 2014 JP
","B62J 15/00,B62J 35/00,B62J 99/00,B62K 11/04,B62K 19/46",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201000419,IDP000056441,,(PA) Diberi Paten,051.0209,13 Jan 2011,06 Jul 2010,06 Jul 2010,"2009-161099 07 Jul 2009 JP
","B62K 11/10,F02M 35/16",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201201067,IDP000049503,,(PA) Diberi Paten,2013/01772,30 May 2013,29 Nov 2012,29 Nov 2012,"2011-262749 30 Nov 2011 JP
",F02P 15/00,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201200916,IDP000047151,,(PA) Diberi Paten,2013/02327,27 Jun 2013,29 Oct 2012,29 Oct 2012,"2011-289099 28 Dec 2011 JP
","B62J 15/00,B62J 17/02,B62J 3/00,B62K 11/00",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201200931,IDP000041752,,(PA) Diberi Paten,2013/02316,27 Jun 2013,30 Oct 2012,30 Oct 2012,"2011-288300 28 Dec 2011 JP
","B62J 17/00,B62J 23/00,B62J 7/02",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201300665,IDP000060821,,(PA) Diberi Paten,2014/01516,05 Jun 2014,03 Sep 2013,03 Sep 2013,"2012-194181 04 Sep 2012 JP
","F01N 13/10,F02F 1/42",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201402487,,-,(PA) Ditarik Kembali oleh Pemohon,2016/02580,08 Apr 2016,,-,"2012-199612 11 Sep 2012 JP
","B62K 5/027,B60G 21/05,B62M 7/12",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201502624,IDP000059803,,(PA) Diberi Paten,2016/05780,21 Oct 2016,30 Apr 2015,30 Apr 2015,"2014-131607 26 Jun 2014 JP
",B62J 25/00,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201505107,IDP000061888,,(PA) Diberi Paten,2016/06234,18 Nov 2016,20 Aug 2015,20 Aug 2015,"2014-168685 21 Aug 2014 JP
","B60R 25/04,B60R 25/20,B62H 5/06,E05B 47/00",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201407019,IDP000048643,,(PA) Diberi Paten,2015/01967,22 May 2015,13 Nov 2014,13 Nov 2014,"JP 2013-237589 18 Nov 2013 JP
",B60K 37/06,Yamaha Hatsudoki Kabushiki Kaisha
P00201602582,IDP000060239,,(PA) Pemberitahuan Informasi Pemeliharaan (Pertama & Kedua),2017/05672,26 May 2017,18 Apr 2016,06 Apr 2015,"2014-115822 04 Jun 2014 JP
","B22C 9/28,B22D 17/00,B22D 29/00,B60B 1/08,B60B 3/06",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201602679,IDP000065719,,(PA) Diberi Paten,2017/05718,02 Jun 2017,21 Apr 2016,31 Mar 2015,"2014-077046 03 Apr 2014 JP
","F02D 29/00,F02D 29/02,F02D 43/04,B60W 30/02",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201406816,IDP000050939,,(PA) Masa Tenggang Dihapuskan,2015/04668,23 Oct 2015,03 Nov 2014,03 Nov 2014,"2013-229980 06 Nov 2013 JP
","B62H 1/02,B62J 17/06,B62K 11/10",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201200925,IDP000039821,,(PA) Diberi Paten,2013/02315,27 Jun 2013,30 Oct 2012,30 Oct 2012,"2011-288299 28 Dec 2011 JP
","B62J 17/02,B62J 6/02",YAMAHA HATSUDOKI KABISHIKI KAISHA
P00201503032,IDP000056550,,(PA) Dihapuskan,2016/06432,25 Nov 2016,21 May 2015,21 May 2015,"JP 2014-108985 27 May 2014 JP
",F01L 13/08,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201600604,IDP000057414,,(PA) Diberi Paten,2017/04938,12 May 2017,29 Jan 2016,30 Jun 2014,"2013-138487 01 Jul 2013 JP
","B62J 23/00,B62J 3/00,B62K 5/027,B62K 5/05",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201000769,IDP000036752,,(PA) Diberi Paten,051.2511,09 Jun 2011,24 Nov 2010,24 Nov 2010,"2009-270177 27 Nov 2009 JP
","B60R 25/00,B62H 5/00,E05B 17/18,E05B 47/00",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201304677,IDP000051748,,(PA) Diberi Paten,2015/00523,27 Feb 2015,27 Nov 2013,27 Nov 2013,"JP2013-136410 28 Jun 2013 JP
",F01P 11/02,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201300186,IDP000043484,,(PA) Diberi Paten,2013/03431,26 Sep 2013,19 Mar 2013,19 Mar 2013,"JP 2012-062378 19 Mar 2012 JP
","B60Q 1/12,B60Q 1/18,B62J 6/02",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201603616,IDP000061950,,(PA) Diberi Paten,2017/05855,02 Jun 2017,30 May 2016,29 Oct 2014,"2013-227456 31 Oct 2013 JP
","B60T 8/1755,B60T 8/176,B60T 8/26,B62K 5/10,B62L 3/08",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201600607,IDP000068536,,(PA) Diberi Paten,2017/04215,21 Apr 2017,29 Jan 2016,30 Jun 2014,"2013-138488 01 Jul 2013 JP
","B62J 6/02,B62K 19/36,B62K 5/05",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201408171,IDP000048369,,(PA) Diberi Paten,2016/03468,20 May 2016,23 Dec 2014,23 Dec 2014,"2013-267463 25 Dec 2013 JP
","B62J 13/02,B62J 15/00,B62J 15/02",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201200544,IDP000043258,,(PA) Diberi Paten,2013/01825,30 May 2013,09 Jul 2012,09 Jul 2012,"2011-152890 11 Jul 2011 JP
","B52K 19/46,B62K 11/10,F02M 35/16",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201404097,IDP000047622,,(PA) Penghapusan,2015/00226,05 Feb 2015,03 Jul 2014,03 Jul 2014,"JP 2013-142838 08 Jul 2013 JP
",H02K 11/00,YAMAHA HATSUDOKI KABUSHIKI KAlSHA
P00201300552,IDP000051641,,(PA) Diberi Paten,2014/01511,05 Jun 2014,26 Jul 2013,26 Jul 2013,"JP 2012-167327 27 Jul 2012 JP
","B62J 99/00,B62K 21/26,B62K 23/04",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201503053,IDP000059802,,(PA) Diberi Paten,2016/06433,25 Nov 2016,22 May 2015,22 May 2015,"2014-136635 02 Jul 2014 JP
","B62J 15/00,B62J 15/02",YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201502736,IDP000052614,,(PA) Diberi Paten,2016/06381,25 Nov 2016,07 May 2015,07 May 2015,"JP 2014-108808 27 May 2014 JP
",B62K 11/02,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201406346,IDP000053304,,(PA) Diberi Paten,2015/01607,30 Apr 2015,20 Oct 2014,20 Oct 2014,"2013-222131 25 Oct 2013 JP
",F02D 35/02,YAMAHA HATSUDOKI KABUSHIKI KAISHA
P00201600639,IDP000068891,,(PA) Diberi Paten,2017/04851,12 May 2017,29 Jan 2016,30 Jun 2014,"2013-138480 01 Jul 2013 JP
","B62K 21/18,B62K 25/08,B62K 5/08,B62K 5/05,B62K 5/10",YAMAHA HATSUDOKI KABUSHIKI KAISHA
