Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201506357,IDP000061707,,(PA) Diberi Paten,2017/03747,13 Apr 2017,08 Oct 2015,16 Apr 2014,"2013-093993 26 Apr 2013 JP
","B23K 11/06,B23K 11/24","HONDA MOTOR CO., LTD."
P00201400372,IDP000050621,,(PA) Diberi Paten,2015/04761,30 Oct 2015,22 Jan 2014,19 Jul 2012,"201110213506.7 28 Jul 2011 CN
","B62M 6/90,B62K 19/40","HONDA MOTOR CO., LTD."
P00201506399,IDP000068534,,(PA) Diberi Paten,2017/03675,13 Apr 2017,09 Oct 2015,11 Apr 2014,"2013-083824 12 Apr 2013 JP
","B60N 2/06,B60N 2/20,B60N 2/22,B60N 2/30","HONDA MOTOR CO., LTD."
P00201701715,IDP000063355,,(PA) Diberi Paten,2017/13651,15 Dec 2017,17 Mar 2017,17 Mar 2017,"2016-056264 18 Mar 2016 JP
",B23D 21/00,"HONDA MOTOR CO., LTD."
P00201405369,IDP000047310,,(PA) Diberi Paten,2016/02235,01 Apr 2016,09 Sep 2014,09 Sep 2014,"2013-197658 25 Sep 2013 JP
","F02B 23/06,F02B 23/08","HONDA MOTOR CO., LTD."
P00201701108,,-,(PA) Dianggap Ditarik Kembali (Direktur),2017/13350,08 Dec 2017,,-,"2016-047175 10 Mar 2016 JP
","B60K 15/05,B62J 35/00","HONDA  MOTOR CO., LTD."
P00201200085,IDP000038896,,(PA) Diberi Paten,2012/04149,27 Sep 2012,10 Feb 2012,10 Feb 2012,"2011-045204 02 Mar 2011 JP
",F02M 35/04,"HONDA MOTOR CO., LTD."
P00201200579,IDP000051985,,(PA) Diberi Paten,2013/00492,28 Feb 2013,19 Jul 2012,19 Jul 2012,"2011-158528 20 Jul 2011 JP
","B23B 39/16,B23B 47/18","HONDA MOTOR CO., LTD."
P00201501752,IDP000050173,,(PA) Diberi Paten,2016/06299,18 Nov 2016,26 Mar 2015,26 Mar 2015,"2014-073079 31 Mar 2014 JP
",H01H 25/06,"HONDA MOTOR CO., LTD."
P00201505067,IDP000059484,,(PA) Dihapuskan,2017/07863,28 Jul 2017,19 Aug 2015,19 Aug 2015,"2014-168720 21 Aug 2014 JP
","B62J 37/00,F02M 35/12,F02M 35/16,F02M 37/00,F02M 37/22","HONDA MOTOR CO., LTD."
P00201406288,IDP000052104,,(PA) Dihapuskan,2016/03298,04 May 2016,17 Oct 2014,30 Apr 2013,"2012-137946 19 Jun 2012 JP
","G08G 1/01,G08G 1/13","HONDA MOTOR CO., LTD."
P00201400776,IDP000053384,,(PA) Diberi Paten,2014/05258,30 Dec 2014,11 Feb 2014,11 Feb 2014,"2013-035699 26 Feb 2013 JP
","B01D 53/94,B01J 35/04,F01N 3/10,F01N 3/28","HONDA MOTOR CO., LTD."
